Local time,Ask,Bid,AskVolume,BidVolume
21.03.2013 00:00:00.005 GMT+0800,1607.848,1607.533,300,200
21.03.2013 00:00:00.126 GMT+0800,1607.816,1607.513,300,300
21.03.2013 00:00:00.465 GMT+0800,1607.7450000000001,1607.413,300,300
21.03.2013 00:00:00.925 GMT+0800,1607.76,1607.413,300,300
21.03.2013 00:00:01.777 GMT+0800,1607.7870000000003,1607.433,300,300
21.03.2013 00:00:02.517 GMT+0800,1607.7020000000002,1607.402,300,700
21.03.2013 00:00:02.621 GMT+0800,1607.7,1607.3529999999998,300,300
21.03.2013 00:00:02.815 GMT+0800,1607.644,1607.3400000000001,300,300
21.03.2013 00:00:02.887 GMT+0800,1607.644,1607.3329999999999,300,300
21.03.2013 00:00:04.552 GMT+0800,1607.6770000000001,1607.3329999999999,300,300
21.03.2013 00:00:06.312 GMT+0800,1607.693,1607.352,300,400
21.03.2013 00:00:07.213 GMT+0800,1607.693,1607.393,300,200
21.03.2013 00:00:07.395 GMT+0800,1607.711,1607.393,300,300
21.03.2013 00:00:08.203 GMT+0800,1607.713,1607.413,300,200
21.03.2013 00:00:09.687 GMT+0800,1607.777,1607.4420000000002,300,300
21.03.2013 00:00:13.295 GMT+0800,1607.6870000000001,1607.3860000000002,200,400
21.03.2013 00:00:13.465 GMT+0800,1607.6870000000001,1607.378,300,300
21.03.2013 00:00:13.525 GMT+0800,1607.6470000000002,1607.3429999999998,300,800
21.03.2013 00:00:13.592 GMT+0800,1607.6470000000002,1607.3329999999999,300,300
21.03.2013 00:00:13.715 GMT+0800,1607.639,1607.3329999999999,300,300
21.03.2013 00:00:14.282 GMT+0800,1607.671,1607.352,300,300
21.03.2013 00:00:16.030 GMT+0800,1607.64,1607.336,300,300
21.03.2013 00:00:16.479 GMT+0800,1607.674,1607.352,300,300
21.03.2013 00:00:17.827 GMT+0800,1607.7520000000002,1607.4520000000002,300,600
21.03.2013 00:00:17.885 GMT+0800,1607.846,1607.503,300,300
21.03.2013 00:00:18.139 GMT+0800,1607.826,1607.503,300,300
21.03.2013 00:00:18.495 GMT+0800,1607.849,1607.533,300,300
21.03.2013 00:00:19.005 GMT+0800,1607.88,1607.533,300,300
21.03.2013 00:00:25.097 GMT+0800,1607.8570000000002,1607.5520000000001,300,300
