发布日期,时间,今值,预测值,前值
2022年11月23日,09:00,4.25%,4.25%,3.50%
2022年10月5日,09:00,3.50%,3.50%,3.00%
2022年8月17日,10:00,3.00%,3.00%,2.50%
2022年7月13日,10:00,2.50%,2.50%,2.00%
2022年5月25日,10:00,2.00%,2.00%,1.50%
2022年4月13日,10:00,1.50%,1.25%,1.00%
2022年2月23日,09:00,1.00%,1.00%,0.75%
2021年11月24日,09:00,0.75%,0.75%,0.50%
2021年10月6日,09:00,0.50%,0.50%,0.25%
2021年8月18日,10:00,0.25%,0.50%,0.25%
2021年7月14日,10:00,0.25%,0.25%,0.25%
2021年5月26日,10:00,0.25%,0.25%,0.25%
2021年4月14日,10:00,0.25%,0.25%,0.25%
2021年2月24日,09:00,0.25%,0.25%,0.25%
2020年11月11日,09:00,0.25%,0.25%,0.25%
2020年9月23日,10:00,0.25%,0.25%,0.25%
2020年8月12日,10:00,0.25%,0.25%,0.25%
2020年6月24日,10:00,0.25%,0.25%,0.25%
2020年5月13日,10:00,0.25%,0.25%,0.25%
2020年3月15日,23:00,0.25%,,1.00%
2020年2月12日,09:00,1.00%,1.00%,1.00%
2019年11月13日,09:00,1.00%,0.75%,1.00%
2019年9月25日,10:00,1.00%,1.00%,1.00%
2019年8月7日,10:00,1.00%,1.25%,1.50%
2019年6月26日,10:00,1.50%,1.50%,1.50%
2019年5月8日,10:00,1.50%,1.50%,1.75%
2019年3月27日,09:00,1.75%,1.75%,1.75%
2019年3月27日,04:00,,,1.75%
2019年2月13日,09:00,1.75%,1.75%,1.75%
2018年11月8日,04:00,1.75%,1.75%,1.75%
2018年9月27日,05:00,1.75%,1.75%,1.75%
2018年8月9日,05:00,1.75%,1.75%,1.75%
2018年6月28日,05:00,1.75%,1.75%,1.75%
2018年5月10日,05:00,1.75%,1.75%,1.75%
2018年3月22日,04:00,1.75%,1.75%,1.75%
2018年2月8日,04:00,1.75%,1.75%,1.75%
2017年11月9日,04:00,1.75%,1.75%,1.75%
2017年9月28日,04:00,1.75%,1.75%,1.75%
2017年8月10日,05:00,1.75%,1.75%,1.75%
2017年6月22日,05:00,1.75%,1.75%,1.75%
2017年5月11日,05:00,1.75%,1.75%,1.75%
2017年3月23日,04:00,1.75%,1.75%,1.75%
2017年2月9日,04:00,1.75%,1.75%,1.75%
2016年11月10日,04:00,1.75%,1.75%,2.00%
2016年9月22日,05:00,2.00%,2.00%,2.00%
2016年8月11日,05:00,2.00%,2.00%,2.25%
2016年6月9日,05:00,2.25%,2.25%,2.25%
2016年4月28日,05:00,2.25%,2.25%,2.25%
2016年3月10日,04:00,2.25%,2.50%,2.50%
2016年1月28日,04:00,2.50%,2.50%,2.50%
2015年12月10日,04:00,2.50%,2.50%,2.75%
