发布日期,时间,今值,预测值,前值
2022年10月18日,05:45,2.2%,1.6%,1.7%
2022年7月18日,06:45,1.7%,1.5%,1.8%
2022年4月21日,06:45,1.8%,2.0%,1.4%
2022年1月27日,05:45,1.4%,1.3%,2.2%
2021年10月18日,05:45,2.2%,1.4%,1.3%
2021年7月16日,06:45,1.3%,0.8%,0.8%
2021年4月21日,06:45,0.8%,0.7%,0.5%
2021年1月22日,05:45,0.5%,0.1%,0.7%
2020年10月23日,05:45,0.7%,0.9%,-0.5%
2020年7月16日,06:45,-0.5%,-0.5%,0.8%
2020年4月20日,06:45,0.8%,0.4%,0.5%
2020年1月24日,05:45,0.5%,0.4%,0.7%
2019年10月16日,05:45,0.7%,0.6%,0.6%
2019年7月16日,06:45,0.6%,0.6%,0.1%
2019年4月17日,06:45,0.1%,0.3%,0.1%
2019年1月23日,05:45,0.1%,0.0%,0.9%
2018年10月16日,05:45,0.9%,0.7%,0.4%
2018年7月17日,06:45,0.4%,0.5%,0.5%
2018年4月19日,06:45,0.5%,0.4%,0.1%
2018年1月25日,05:45,0.1%,0.4%,0.5%
2017年10月17日,05:45,0.5%,0.4%,0.0%
2017年7月18日,06:45,0.0%,0.2%,1.0%
2017年4月20日,06:45,1.0%,0.8%,0.4%
2017年1月26日,05:45,0.4%,0.3%,0.3%
2016年10月18日,05:45,0.2%,0.0%,0.4%
2016年7月18日,06:45,0.4%,0.5%,0.2%
2016年4月18日,06:45,0.2%,0.1%,-0.5%
2016年1月20日,05:45,-0.5%,-0.2%,0.3%
2015年10月16日,05:45,0.3%,0.2%,0.4%
2015年7月16日,06:45,0.4%,0.6%,-0.3%
2015年4月20日,06:45,-0.3%,-0.2%,-0.2%
2015年1月21日,05:45,-0.2%,0.0%,0.3%
2014年10月23日,05:45,0.3%,0.5%,0.3%
2014年7月16日,06:45,0.3%,0.4%,0.3%
2014年4月16日,06:45,0.3%,0.5%,0.1%
2014年1月21日,05:45,0.1%,-0.1%,0.9%
2013年10月16日,05:45,0.9%,0.9%,0.2%
2013年7月16日,06:45,0.2%,0.3%,0.4%
2013年4月17日,06:45,0.4%,0.4%,-0.2%
2013年1月18日,05:45,-0.2%,0.1%,0.3%
2012年10月16日,05:45,0.3%,0.6%,0.3%
2012年7月17日,06:45,0.3%,0.5%,0.5%
2012年4月19日,06:45,0.5%,0.6%,-0.3%
2012年1月19日,05:45,-0.3%,0.4%,0.4%
2011年10月25日,05:45,0.4%,0.7%,1.0%
2011年7月18日,06:45,1.0%,0.8%,0.8%
2011年4月18日,06:45,0.8%,1.0%,2.3%
2011年1月20日,05:45,2.3%,2.3%,1.1%
2010年10月18日,05:45,1.1%,1.0%,0.2%
2010年7月16日,06:45,0.3%,0.5%,0.4%
2010年4月20日,06:45,0.4%,0.6%,-0.2%
2010年1月20日,05:45,-0.2%,0.0%,1.3%
2009年10月15日,05:45,1.3%,0.8%,0.6%
2009年7月16日,06:45,0.6%,0.5%,0.3%
2009年4月17日,06:45,0.3%,0.3%,-0.5%
2009年1月20日,05:45,-0.5%,-0.4%,1.5%
2008年10月21日,05:45,1.5%,1.5%,1.6%
2008年7月15日,06:45,1.6%,1.4%,0.7%
