发布日期,时间,今值,预测值,前值
2023/1/27,21:30,,0.20%,0.20%
2022/12/23,21:30,0.20%,0.20%,0.30%
2022/12/1,21:30,0.20%,0.30%,0.50%
2022/10/28,20:30,0.50%,0.50%,0.50%
2022/9/30,20:30,0.60%,0.50%,0.10%
2022/8/26,20:30,0.10%,0.30%,0.60%
2022/7/29,20:30,0.60%,0.50%,0.30%
2022/6/30,20:30,0.30%,0.40%,0.30%
2022/5/27,20:30,0.30%,0.30%,0.30%
2022/4/29,20:30,0.30%,0.30%,0.30%
2022/3/31,20:30,0.40%,0.40%,0.50%
2022/2/25,21:30,0.50%,0.50%,0.50%
2022/1/28,21:30,0.50%,0.50%,0.50%
2021/12/23,21:30,0.50%,0.40%,0.50%
2021/11/24,23:00,0.40%,0.40%,0.20%
2021/10/29,20:30,0.20%,0.20%,0.30%
2021/10/1,20:30,0.30%,0.20%,0.30%
2021/8/27,20:30,0.30%,0.30%,0.50%
