发布日期,时间,今值,预测值,前值
2022年11月24日,16:30,2.50%,2.50%,1.75%
2022年9月20日,15:30,1.75%,1.50%,0.75%
2022年6月30日,15:30,0.75%,0.75%,0.25%
2022年4月28日,15:30,0.25%,0.00%,0.00%
2022年2月10日,16:30,0.00%,,0.00%
2021年11月25日,16:30,0.00%,0.00%,0.00%
2021年9月21日,15:30,0.00%,,0.00%
2021年7月1日,15:30,0.00%,,0.00%
2021年4月27日,15:30,0.00%,0.00%,0.00%
2021年2月10日,16:30,0.00%,0.00%,0.00%
2020年11月26日,16:30,0.00%,,0.00%
2020年9月22日,15:30,0.00%,0.00%,0.00%
2020年7月1日,15:30,0.00%,0.00%,0.00%
2020年4月28日,15:30,0.00%,,0.00%
2020年2月12日,16:30,0.00%,0.00%,0.00%
2019年12月19日,16:30,0.00%,-0.25%,-0.25%
2019年10月24日,15:30,-0.25%,-0.25%,-0.25%
2019年9月5日,15:30,-0.25%,-0.25%,-0.25%
2019年7月3日,15:30,-0.25%,-0.25%,-0.25%
2019年4月25日,15:30,-0.25%,-0.25%,-0.25%
2019年2月13日,16:30,-0.25%,-0.25%,-0.25%
2018年12月20日,16:30,-0.25%,-0.50%,-0.50%
2018年10月24日,15:30,-0.50%,-0.50%,-0.50%
2018年9月6日,15:30,-0.50%,-0.50%,-0.50%
2018年7月3日,15:30,-0.50%,-0.50%,-0.50%
2018年4月26日,15:30,-0.50%,-0.50%,-0.50%
2018年2月14日,16:30,-0.50%,-0.50%,-0.50%
2017年12月20日,16:30,-0.50%,-0.50%,-0.50%
2017年10月26日,15:30,-0.50%,-0.50%,-0.50%
2017年9月7日,15:30,-0.50%,-0.50%,-0.50%
2017年7月4日,15:30,-0.50%,-0.50%,-0.50%
2017年4月27日,15:30,-0.50%,-0.50%,-0.50%
2017年2月15日,16:30,-0.50%,-0.50%,-0.50%
2016年12月21日,16:30,-0.50%,-0.50%,-0.50%
2016年10月27日,15:30,-0.50%,-0.50%,-0.50%
2016年9月7日,15:30,-0.50%,-0.50%,-0.50%
2016年7月6日,15:30,-0.50%,-0.50%,-0.50%
