发布日期,时间,今值,预测值,前值
(第四季),16:30,1.00%,1.00%,0.50%
(第三季),15:30,0.50%,0.50%,-0.25%
(第二季),15:30,-0.25%,-0.75%,-0.75%
(第一季),16:30,-0.75%,-0.75%,-0.75%
(第四季),16:30,-0.75%,-0.75%,-0.75%
(第三季),15:30,-0.75%,-0.75%,-0.75%
15:30,-0.75%,,-0.75%,
16:30,-0.75%,,-0.75%,
16:30,-0.75%,-0.75%,-0.75%,
15:30,-0.75%,-0.75%,-0.75%,
15:30,-0.75%,-0.75%,-0.75%,
16:30,-0.75%,-0.75%,-0.75%,
16:30,-0.75%,-0.75%,-0.75%,
15:30,-0.75%,-0.75%,-0.75%,
15:30,-0.75%,-0.75%,-0.75%,
16:30,-0.75%,-0.75%,-0.75%,
16:30,-0.75%,-0.75%,-0.75%,
15:30,-0.75%,-0.75%,-0.75%,
15:30,-0.75%,-0.75%,-0.75%,
16:30,-0.75%,-0.75%,-0.75%,
16:30,-0.75%,-0.75%,-0.75%,
15:30,-0.75%,-0.75%,-0.75%,
15:30,-0.75%,-0.75%,-0.75%,
16:30,-0.75%,-0.75%,-0.75%,
16:30,-0.75%,-0.75%,-0.75%,
15:30,-0.75%,-0.75%,-0.75%,
15:30,-0.75%,-0.75%,-0.75%,
16:30,-0.75%,-0.75%,-0.75%,
16:30,-0.75%,-0.75%,-0.75%,
15:30,-0.75%,-0.75%,-0.75%,
15:30,-0.75%,-0.75%,-0.75%,
16:30,-0.75%,-0.75%,-0.75%,
17:30,-0.75%,,-0.25%,
15:30,-0.25%,,0.00%,
16:30,0.00%,0.00%,0.00%,
15:30,0.00%,0.00%,0.00%,
15:30,0.00%,0.00%,0.00%,
16:30,0.00%,0.00%,0.00%,
16:30,0.00%,0.00%,0.00%,
15:30,0.00%,0.00%,0.00%,
15:30,0.00%,0.00%,0.00%,
16:30,0.00%,0.00%,0.00%,
16:30,0.00%,0.00%,0.00%,
15:30,0.00%,0.00%,0.00%,
15:30,0.00%,0.00%,0.00%,
16:30,0.00%,0.00%,0.00%,
16:30,0.00%,0.00%,0.00%,
15:30,0.00%,0.00%,0.00%,
15:00,0.00%,,0.25%,
15:30,0.25%,0.25%,0.25%,
16:30,0.25%,0.25%,0.25%,
16:30,0.25%,0.25%,0.25%,
20:00,0.25%,0.25%,0.25%,
15:30,0.25%,0.25%,0.25%,
21:00,0.25%,0.25%,0.25%,
16:30,0.25%,0.25%,0.25%,
20:00,0.25%,0.25%,0.25%,
15:30,0.25%,0.25%,0.25%,
21:00,0.25%,0.25%,0.50%,
16:30,0.50%,0.50%,1.00%,
19:00,2.50%,,2.75%,
20:00,2.75%,2.75%,2.75%,
15:30,2.75%,2.75%,2.75%,
