发布日期,时间,今值,预测值,前值
22:45,,46.2,47.7,47.7
22:45,47.7,47.6,47.6,
22:45,,47.6,50.0,50.4
21:45,50.4,49.9,49.9,
21:45,,49.9,51.0,52.0
21:45,52.0,51.8,51.5,
21:45,,51.8,51.1,51.5
21:45,51.5,51.3,51.3,
21:45,,51.3,52.0,52.2
21:45,52.2,52.3,52.7,
21:45,,52.3,52.0,52.7
21:45,52.7,,52.4,
21:45,,52.4,56.0,57.0
21:45,57.0,57.5,59.2,
21:45,,57.5,57.5,59.2
21:45,59.2,,59.7,
21:45,,59.7,58.2,58.8
21:45,58.8,58.5,57.3,
21:45,,58.5,56.3,57.3
22:45,57.3,57.5,55.5,
22:45,,57.5,56.0,55.5
22:45,55.5,55.0,57.7,
22:45,,55.0,56.7,57.7
22:45,57.7,57.8,58.3,
22:45,,57.8,58.5,58.3
22:45,58.3,,59.1,
22:45,,59.1,59.0,58.4
21:45,58.4,59.2,60.7,
21:45,,59.2,60.3,60.7
21:45,60.7,60.5,61.1,
21:45,,60.5,61.5,61.1
21:45,61.1,,61.2,
21:45,,61.2,62.5,63.4
21:45,63.4,63.1,62.1,
21:45,,63.1,62.0,62.1
21:45,62.1,,62.6,
21:45,,62.6,61.5,62.1
21:45,62.1,,61.5,
21:45,,61.5,60.2,60.5
21:45,60.5,,60.6,
21:45,,60.6,60.5,59.1
21:45,59.1,59.0,58.6,
21:45,,59.0,59.3,58.6
22:45,58.6,58.5,59.2,
22:45,,58.5,58.5,59.2
22:45,59.2,,59.1,
22:45,,59.1,56.5,57.1
22:45,57.1,,56.5,
22:45,,56.5,55.7,56.7
22:45,56.7,56.7,53.4,
22:45,,56.7,53.0,53.4
22:45,53.4,,53.3,
21:45,,53.3,53.4,53.2
21:45,53.2,53.5,53.1,
21:45,,53.5,53.1,53.1
21:45,53.1,53.6,50.9,
21:45,,53.6,51.9,50.9
21:45,50.9,51.3,49.8,
21:45,,51.3,51.5,49.8
21:45,49.8,49.6,39.8,
21:45,,49.6,48.0,39.8
21:45,39.8,39.8,36.1,
21:45,,39.8,38.0,36.1
21:45,36.1,36.9,48.5,
21:45,,36.9,38.0,48.5
21:45,48.5,49.2,50.7,
21:45,,49.2,42.8,50.7
22:45,50.7,50.8,51.9,
22:45,,50.8,51.5,51.9
22:45,51.9,51.7,52.4,
22:45,,51.7,52.5,52.4
22:45,52.4,52.5,52.6,
22:45,,52.5,52.6,52.6
22:45,52.6,52.2,52.2,
22:45,,52.2,51.5,51.3
21:45,51.3,51.5,51.1,
21:45,,51.5,50.7,51.1
21:45,51.1,51.0,50.3,
21:45,,51.0,50.3,50.3
21:45,50.3,49.9,49.9,
21:45,,49.9,50.5,50.4
21:45,50.4,50.0,50.0,
21:45,,50.0,51.0,50.6
21:45,50.6,50.1,50.1,
21:45,,50.1,50.5,50.5
21:45,50.5,50.6,50.6,
21:45,,50.6,52.5,52.6
21:45,52.6,52.4,52.4,
21:45,,52.4,52.8,52.4
21:45,52.4,52.5,52.5,
21:45,,52.5,53.5,53.0
22:45,53.0,53.7,53.7,
22:45,,53.7,54.9,54.9
22:45,54.9,54.9,54.9,
22:45,,54.9,53.5,53.8
22:45,53.8,53.9,53.9,
22:45,,53.9,55.1,55.3
22:45,55.3,55.4,55.4,
22:45,,55.4,55.8,55.7
21:45,55.7,55.9,55.9,
21:45,,55.9,55.4,55.6
21:45,55.6,55.6,55.6,
21:45,,55.6,55.0,54.7
21:45,54.7,54.5,54.5,
21:45,,54.5,55.1,55.3
21:45,55.3,55.5,55.5,
21:45,,55.5,55.1,55.4
21:45,55.4,54.6,54.6,
21:45,,54.6,56.3,56.4
21:45,56.4,56.6,56.6,
21:45,,56.6,56.6,56.5
21:45,56.5,56.5,56.5,
21:45,,56.5,55.2,55.6
21:45,55.6,55.7,55.7,
21:45,,55.7,56.0,55.3
22:45,55.3,55.9,55.9,
22:45,,55.9,55.4,55.5
22:45,55.5,55.5,55.5,
22:45,,55.5,55.2,55.1
22:45,55.1,55.0,55.0,
22:45,,55.0,54.2,53.9
22:45,53.9,53.8,53.8,
22:45,,53.8,54.8,54.6
21:45,54.6,54.5,54.5,
21:45,,54.5,53.5,53.1
21:45,53.1,53.0,53.0,
21:45,,53.0,53.0,52.8
21:45,52.8,52.5,52.5,
21:45,,52.5,53.3,53.3
21:45,53.3,53.2,53.2,
21:45,,53.2,52.0,52.0
21:45,52.0,52.1,52.1,
21:45,,52.1,53.0,52.7
21:45,52.7,52.5,52.5,
21:45,,52.5,53.0,52.8
21:45,52.8,52.8,52.8,
21:45,,52.8,53.5,53.3
21:45,53.3,53.5,53.4,
21:45,,53.4,54.8,54.2
22:45,54.2,54.4,54.3,
22:45,,54.3,55.3,55.0
22:45,55.0,55.1,55.1,
22:45,,55.1,54.5,54.3
22:45,54.3,54.2,54.2,
22:45,,54.2,54.2,54.1
22:45,54.1,53.9,53.9,
22:45,,53.9,53.4,53.4
21:45,53.4,53.3,53.2,
21:45,,53.2,51.5,51.5
21:45,51.5,51.4,51.4,
21:45,,51.4,51.9,52.0
21:45,52.0,52.1,52.1,
21:45,,52.1,52.7,52.9
21:45,52.9,52.9,52.9,
21:45,,52.9,51.6,51.3
21:45,51.3,51.4,51.4,
21:45,,51.4,50.8,50.7
21:45,50.7,50.5,50.5,
21:45,,50.5,51.0,50.8
21:45,50.8,51.0,50.8,
21:45,,50.8,52.0,51.5
21:45,51.5,51.5,51.4,
