发布日期,时间,今值,预测值,前值
22:45,,44.6,47.0,46.4
22:45,46.4,46.3,48.2,
22:45,,46.3,,48.2
21:45,48.2,47.3,49.5,
21:45,,47.3,49.3,49.5
21:45,49.5,,44.6,
21:45,,49.3,,44.6
21:45,44.6,45.0,47.7,
21:45,,45.0,49.0,47.7
21:45,47.7,47.5,52.3,
21:45,,47.5,,52.3
21:45,52.3,51.2,53.6,
21:45,,51.2,,53.6
21:45,53.6,53.8,56.0,
21:45,,53.8,,56.0
21:45,56.0,55.1,57.7,
21:45,,55.1,57.0,57.7
21:45,57.7,58.5,55.9,
21:45,,58.5,,55.9
22:45,55.9,56.0,51.1,
22:45,,56.0,,51.1
22:45,51.1,50.8,57.0,
22:45,,50.8,,57.0
22:45,57.0,56.9,57.2,
22:45,,56.9,,57.2
22:45,57.2,56.5,57.6,
22:45,,56.5,,57.6
21:45,57.6,57.3,55.0,
21:45,,57.3,,55.0
21:45,55.0,54.5,55.4,
21:45,,54.5,58.3,55.4
21:45,55.4,55.4,59.9,
21:45,,55.4,58.3,59.9
21:45,59.9,59.7,63.7,
21:45,,59.7,,63.7
21:45,63.7,63.9,68.7,
21:45,,63.9,,68.7
21:45,68.7,68.1,63.5,
21:45,,68.1,,63.5
21:45,63.5,62.2,59.7,
21:45,,62.2,,59.7
21:45,59.7,,59.5,
21:45,59.1,,59.5,
22:45,59.5,58.8,58.7,
22:45,,58.8,,58.7
22:45,58.7,,55.3,
22:45,,58.0,,55.3
22:45,55.3,55.7,58.6,
22:45,,55.7,,58.6
22:45,58.6,57.9,56.3,
22:45,,57.9,,56.3
22:45,56.3,55.5,54.3,
21:45,,55.5,,54.3
21:45,54.3,54.4,54.6,
21:45,,54.4,,54.6
21:45,54.6,54.7,50.3,
21:45,,54.7,,50.3
21:45,50.3,50.0,47.9,
21:45,,50.0,,47.9
21:45,47.9,46.8,37.0,
21:45,,46.8,,37.0
21:45,37.0,36.4,27.0,
21:45,,36.4,,27.0
21:45,27.0,27.4,40.9,
21:45,,27.4,,40.9
21:45,40.9,40.5,49.6,
21:45,,40.5,,49.6
22:45,49.6,49.6,53.3,
22:45,,49.6,,53.3
22:45,53.3,53.1,52.7,
22:45,,53.1,52.5,52.7
22:45,52.7,52.2,52.0,
22:45,,52.2,51.9,52.0
22:45,52.0,51.9,50.9,
22:45,,51.9,51.9,50.9
22:45,50.9,51.2,51.0,
21:45,,51.2,51.6,51.0
21:45,51.0,51.0,50.7,
21:45,,51.0,49.6,50.7
21:45,50.7,50.9,50.9,
21:45,,50.9,,52.6
21:45,52.6,51.6,51.6,
21:45,,51.6,,51.5
21:45,51.5,50.6,50.9,
21:45,,50.6,,50.9
21:45,50.9,50.9,50.9,
21:45,,50.9,,53.0
21:45,53.0,52.8,54.6,
21:45,,52.8,,54.6
21:45,54.6,54.3,54.3,
22:45,55.5,55.8,55.8,
22:45,,55.8,55.1,54.4
22:45,54.4,54.5,54.5,
22:45,,54.2,,54.4
22:45,54.4,54.7,54.7,
22:45,54.7,54.4,54.9,
22:45,,54.4,56.0,54.9
22:45,54.9,54.8,54.8,
21:45,,54.8,,53.9
21:45,53.9,53.4,53.4,
21:45,,53.4,55.0,54.7
21:45,54.7,55.0,55.0,
21:45,,55.0,56.3,55.7
21:45,55.7,55.9,55.9,
21:45,56.2,56.0,56.0,
21:45,,56.0,55.1,56.6
21:45,56.6,,55.7,
21:45,,55.7,55.0,54.9
21:45,54.9,,54.8,
21:45,,54.8,55.3,54.2
21:45,54.2,,54.3,
22:45,55.8,55.9,55.9,
22:45,,55.9,54.4,53.8
22:45,53.8,53.9,53.8,
22:45,,53.8,53.5,54.1
22:45,54.1,,53.0,
22:45,54.5,,54.6,
21:45,55.2,,55.7,
21:45,,55.7,,54.8
21:45,54.8,,54.6,
21:45,,54.6,,55.3
21:45,55.3,,56.0,
21:45,54.6,,54.2,
21:45,53.9,,53.0,
21:45,53.6,,53.9,
21:45,53.2,,52.7,
21:45,53.0,,53.2,
22:45,54.1,,54.3,
22:45,55.8,,55.4,
22:45,54.1,,53.7,
22:45,,53.7,,54.9
22:45,54.9,,54.9,
22:45,,,,54.9
21:45,54.9,,54.9,
21:45,52.3,52.0,52.0,
18:55,51.5,51.8,51.8,
21:45,51.8,51.2,51.2,
21:45,51.2,,51.2,
21:45,50.9,,50.8,
21:45,52.4,,51.7,
21:45,,51.7,,51.3
21:45,51.3,,51.1,
22:45,50.0,,50.1,
22:45,53.2,,53.7,
22:45,54.0,,53.5,
22:45,55.9,,56.1,
22:45,55.0,,54.5,
21:45,55.0,,55.3,
21:45,55.7,,55.0,
21:45,,55.0,55.2,55.7
21:45,55.7,55.2,55.2,
21:45,54.6,54.6,54.6,
21:45,56.0,57.0,56.1,
21:45,57.0,,57.4,
21:45,59.2,,58.5,
22:45,57.2,,56.8,
22:45,54.4,,54.2,
22:45,53.5,,53.8,
22:45,56.1,,57.2,
22:45,57.2,58.4,59.0,
21:45,59.0,,59.7,
17:00,59.7,,60.6,
17:00,60.6,,61.0,
17:00,61.0,,58.4,
17:00,58.4,,55.6,
17:00,55.6,,55.7,
17:00,55.7,,54.1,
17:00,54.1,,56.2,
17:00,56.2,,56.1,
17:00,56.1,,56.2,
17:00,56.2,,49.6,
17:00,49.6,,57.3,
17:00,57.3,,56.0,
17:00,56.0,,56.8,
17:00,56.8,,55.8,
17:00,55.8,,54.5,
17:00,54.5,,53.8,
17:00,53.8,,53.8,
17:00,53.8,,54.5,
17:00,54.5,,53.8,
