发布日期,时间,今值,预测值,前值
2022年12月15日,22:15,79.70%,79.80%,79.90%
2022年11月16日,22:15,79.90%,80.40%,80.10%
2022年10月18日,21:15,80.30%,80.00%,80.10%
2022年9月15日,21:15,80.00%,80.30%,80.20%
2022年8月16日,21:15,80.30%,80.10%,79.90%
2022年7月15日,21:15,80.00%,80.60%,80.30%
2022年6月17日,21:15,79.00%,79.20%,78.90%
2022年5月17日,21:15,79.00%,78.60%,78.20%
2022年4月15日,21:15,78.30%,77.80%,77.70%
2022年3月17日,21:15,77.60%,77.80%,77.30%
2022年2月16日,22:15,77.60%,76.80%,76.60%
2022年1月14日,22:15,76.50%,77.00%,76.60%
2021年12月16日,22:15,76.80%,76.80%,76.50%
2021年11月16日,22:15,76.40%,75.80%,75.20%
2021年10月18日,21:15,75.20%,76.50%,76.20%
2021年9月15日,21:15,76.40%,76.40%,76.20%
2021年8月17日,21:15,76.10%,75.70%,75.40%
2021年7月15日,21:15,75.40%,75.60%,75.10%
2021年6月15日,21:15,75.20%,75.10%,74.60%
2021年5月14日,21:15,74.90%,75.00%,74.40%
2021年4月15日,21:15,74.40%,75.70%,73.40%
2021年3月16日,21:15,73.80%,75.50%,75.50%
2021年2月17日,22:15,75.60%,74.80%,74.90%
2021年1月15日,22:15,74.50%,73.60%,73.40%
2020年12月15日,22:15,73.30%,72.90%,73.00%
2020年11月17日,22:15,72.80%,72.30%,72.00%
2020年10月16日,21:15,71.50%,71.90%,72.00%
2020年9月15日,21:15,71.40%,71.40%,71.10%
2020年8月14日,21:15,70.60%,70.30%,68.50%
2020年7月15日,21:15,68.60%,67.70%,65.10%
2020年6月16日,21:15,64.80%,66.90%,64.00%
2020年5月15日,21:15,64.90%,64.00%,73.20%
2020年4月15日,21:15,72.70%,73.80%,77.00%
2020年3月17日,21:15,77.00%,77.10%,76.60%
2020年2月14日,22:15,76.80%,76.80%,77.10%
2020年1月17日,22:15,77.00%,77.10%,77.40%
2019年12月17日,22:15,77.30%,77.40%,76.60%
2019年11月15日,22:15,76.70%,77.10%,77.50%
2019年10月17日,21:15,77.50%,77.70%,77.90%
2019年9月17日,21:15,77.90%,77.60%,77.50%
2019年8月15日,21:15,77.50%,77.80%,77.80%
2019年7月16日,21:15,77.90%,78.20%,78.10%
2019年6月14日,21:15,78.10%,78.00%,77.90%
2019年5月15日,21:15,77.90%,78.70%,78.50%
2019年4月16日,21:15,78.80%,79.10%,79.00%
2019年3月15日,21:15,78.20%,78.40%,78.30%
2019年2月15日,22:15,78.20%,78.80%,78.80%
2019年1月18日,22:15,78.70%,78.60%,78.60%
2018年12月14日,22:15,78.50%,78.60%,78.10%
2018年11月16日,22:15,78.40%,78.30%,78.50%
2018年10月16日,21:15,78.10%,78.20%,78.10%
2018年9月14日,21:15,78.10%,78.30%,77.90%
2018年8月15日,21:15,78.10%,78.30%,78.10%
2018年7月17日,21:15,78.00%,78.40%,77.70%
2018年6月15日,21:15,77.90%,78.10%,78.10%
2018年5月16日,21:15,78.00%,78.40%,77.60%
2018年4月17日,21:15,78.00%,77.90%,77.70%
2018年3月16日,21:15,78.10%,77.70%,77.40%
