发布日期,时间,今值,预测值,前值,,,,,,,
2022年12月22日,21:30,216K,222K,214K,,,,,,,
2022年12月15日,21:30,211K,230K,231K,,,,,,,
2022年12月8日,21:30,230K,230K,226K,,,,,,,
2022年12月1日,21:30,225K,235K,241K,,,,,,,
2022年11月23日,21:30,240K,225K,223K,,,,,,,
2022年11月17日,21:30,222K,225K,226K,,,,,,,
2022年11月10日,21:30,225K,220K,218K,,,,,,,
2022年11月3日,20:30,217K,220K,218K,,,,,,,
2022年10月27日,20:30,217K,220K,214K,,,,,,,
2022年10月20日,20:30,214K,230K,226K,,,,,,,
2022年10月13日,20:30,228K,225K,219K,,,,,,,
2022年10月6日,20:30,219K,203K,190K,,,,,,,
2022年9月29日,20:30,193K,215K,209K,,,,,,,
2022年9月22日,20:30,213K,218K,208K,,,,,,,
2022年9月15日,20:30,213K,226K,218K,,,,,,,
2022年9月8日,20:30,222K,240K,228K,,,,,,,
2022年9月1日,20:30,232K,248K,237K,,,,,,,
2022年8月25日,20:30,243K,253K,245K,,,,,,,
2022年8月18日,20:30,250K,265K,252K,,,,,,,
2022年8月11日,20:30,262K,263K,248K,,,,,,,
2022年8月4日,20:30,260K,259K,254K,,,,,,,
2022年7月28日,20:30,256K,253K,261K,,,,,,,
2022年7月21日,20:30,251K,240K,244K,,,,,,,
2022年7月14日,20:30,244K,235K,235K,,,,,,,
2022年7月7日,20:30,235K,230K,231K,,,,,,,
2022年6月30日,20:30,231K,228K,233K,,,,,,,
2022年6月23日,20:30,229K,227K,231K,,,,,,,
2022年6月16日,20:30,229K,215K,232K,,,,,,,
2022年6月9日,20:30,229K,210K,202K,,,,,,,
2022年6月2日,20:30,200K,210K,211K,,,,,,,
2022年5月26日,20:30,210K,215K,218K,,,,,,,
2022年5月19日,20:30,218K,200K,197K,,,,,,,
2022年5月12日,20:30,203K,195K,202K,,,,,,,
2022年5月5日,20:30,200K,182K,181K,,,,,,,
2022年4月28日,20:30,180K,180K,185K,,,,,,,
2022年4月21日,20:30,184K,180K,186K,,,,,,,
2022年4月14日,20:30,185K,171K,167K,,,,,,,
2022年4月7日,20:30,166K,200K,171K,,,,,,,
2022年3月31日,20:30,202K,197K,188K,,,,,,,
2022年3月24日,20:30,187K,212K,215K,,,,,,,
2022年3月17日,20:30,214K,220K,229K,,,,,,,
2022年3月10日,21:30,227K,217K,216K,,,,,,,
2022年3月3日,21:30,215K,226K,233K,,,,,,,
2022年2月24日,21:30,232K,235K,249K,,,,,,,
2022年2月17日,21:30,248K,219K,225K,,,,,,,
2022年2月10日,21:30,223K,230K,239K,,,,,,,
2022年2月3日,21:30,238K,245K,261K,,,,,,,
2022年1月27日,21:30,260K,260K,290K,,,,,,,
2022年1月20日,21:30,286K,220K,231K,,,,,,,
2022年1月13日,21:30,230K,200K,207K,,,,,,,
2022年1月6日,21:30,207K,197K,200K,,,,,,,
2021年12月30日,21:30,198K,208K,206K,,,,,,,
2021年12月23日,21:30,205K,205K,205K,,,,,,,
2021年12月16日,21:30,206K,200K,188K,,,,,,,
2021年12月9日,21:30,184K,215K,227K,,,,,,,
2021年12月2日,21:30,222K,240K,194K,,,,,,,
2021年11月24日,21:30,199K,260K,270K,,,,,,,
