发布日期,时间,今值,预测值,前值
2022年12月29日,21:30,,,221.75K
2022年12月22日,21:30,221.75K,,228.00K
2022年12月15日,21:30,227.25K,,230.25K
2022年12月8日,21:30,230.00K,,229.00K
2022年12月1日,21:30,228.75K,,227.00K
2022年11月23日,21:30,226.75K,,221.25K
2022年11月17日,21:30,221.00K,,219.00K
2022年11月10日,21:30,218.75K,,219.00K
2022年11月3日,20:30,218.75K,,219.25K
2022年10月27日,20:30,219.00K,,212.25K
2022年10月20日,20:30,212.25K,,211.00K
2022年10月13日,20:30,211.50K,,206.50K
2022年10月6日,20:30,206.50K,,206.25K
2022年9月29日,20:30,207.00K,,215.75K
2022年9月22日,20:30,216.75K,,222.75K
2022年9月15日,20:30,224.00K,,232.00K
2022年9月8日,20:30,233.00K,,240.50K
2022年9月1日,20:30,241.50K,,245.50K
2022年8月25日,20:30,247.00K,,245.50K
2022年8月18日,20:30,246.75K,,249.50K
2022年8月11日,20:30,252.00K,,247.50K
2022年8月4日,20:30,254.75K,,248.75K
2022年7月28日,20:30,249.25K,,243.00K
2022年7月21日,20:30,240.50K,,236.00K
2022年7月14日,20:30,235.75K,,232.50K
2022年7月7日,20:30,232.50K,,231.75K
2022年6月30日,20:30,231.75K,,224.50K
2022年6月23日,20:30,223.50K,,219.00K
2022年6月16日,20:30,218.50K,,215.75K
2022年6月9日,20:30,215.00K,,207.00K
2022年6月2日,20:30,206.50K,,207.00K
2022年5月26日,20:30,206.75K,,199.50K
2022年5月19日,20:30,199.50K,,191.25K
2022年5月12日,20:30,192.75K,,188.50K
2022年5月5日,20:30,188.00K,,180.00K
2022年4月28日,20:30,179.75K,,177.50K
2022年4月21日,20:30,177.25K,,172.75K
2022年4月14日,20:30,172.25K,,170.25K
2022年4月7日,20:30,170.00K,,178.00K
2022年3月31日,20:30,208.50K,,212.00K
2022年3月24日,20:30,211.75K,,223.25K
2022年3月17日,20:30,223.00K,,231.75K
2022年3月10日,21:30,231.25K,,230.75K
2022年3月3日,21:30,230.50K,,236.50K
2022年2月24日,21:30,236.25K,,243.50K
2022年2月17日,21:30,243.25K,,253.75K
2022年2月10日,21:30,253.25K,,255.25K
2022年2月3日,21:30,255.00K,,247.25K
2022年1月27日,21:30,247.00K,,232.00K
2022年1月20日,21:30,231.00K,,211.00K
2022年1月13日,21:30,210.75K,,204.50K
2022年1月6日,21:30,204.50K,,199.75K
2021年12月30日,21:30,199.25K,,206.50K
2021年12月23日,21:30,206.25K,,203.50K
2021年12月16日,21:30,203.75K,,219.75K
2021年12月9日,21:30,218.75K,,240.00K
2021年12月2日,21:30,238.75K,,251.00K
2021年11月24日,21:30,252.25K,,273.25K
2021年11月18日,21:30,272.75K,,278.50K
2021年11月10日,21:30,278.00K,,285.25K
2021年11月4日,20:30,284.75K,,299.75K
2021年10月28日,20:30,299.25K,,320.00K
2021年10月21日,20:30,319.75K,,335.00K
2021年10月14日,20:30,334.25K,,344.75K
2021年10月7日,20:30,344.00K,,340.50K
2021年9月30日,20:30,340.00K,,335.75K
2021年9月23日,20:30,335.75K,,336.50K
2021年9月16日,20:30,335.75K,,340.00K
2021年9月9日,20:30,339.50K,,356.25K
2021年9月2日,20:30,355.00K,,366.75K
2021年8月26日,20:30,366.50K,,378.00K
2021年8月19日,20:30,377.75K,,396.75K
2021年8月12日,20:30,396.25K,,394.50K
2021年8月5日,20:30,394.00K,,394.25K
2021年7月29日,20:30,394.50K,,386.50K
2021年7月22日,20:30,385.25K,,384.50K
2021年7月15日,20:30,382.50K,,397.00K
2021年7月8日,20:30,394.50K,,394.75K
2021年7月1日,20:30,392.75K,,398.75K
2021年6月24日,20:30,397.75K,,396.25K
2021年6月17日,20:30,395.00K,,403.00K
2021年6月10日,20:30,402.50K,,428.00K
2021年6月3日,20:30,428.00K,,458.50K
2021年5月27日,20:30,458.75K,,504.75K
2021年5月20日,20:30,504.75K,,535.25K
2021年5月13日,20:30,534.00K,,562.25K
2021年5月6日,20:30,560.00K,,621.00K
2021年4月29日,20:30,611.75K,,655.75K
2021年4月22日,20:30,651.00K,,678.75K
2021年4月15日,20:30,683.00K,,730.25K
2021年4月8日,20:30,723.75K,,721.25K
2021年4月1日,20:30,719.00K,,729.50K
2021年3月25日,20:30,736.00K,,749.00K
2021年3月18日,20:30,746.25K,,762.25K
2021年3月11日,21:30,759.00K,,793.00K
2021年3月4日,21:30,790.75K,,807.50K
2021年2月25日,21:30,807.75K,,828.25K
2021年2月18日,21:30,833.25K,,836.75K
2021年2月11日,21:30,823.00K,,856.50K
2021年2月4日,21:30,848.25K,,849.50K
2021年1月28日,21:30,868.00K,,851.75K
2021年1月21日,21:30,848.00K,,824.50K
2021年1月14日,21:30,834.25K,,816.00K
2021年1月7日,21:30,818.75K,,837.50K
2020年12月31日,21:30,836.75K,,819.00K
2020年12月23日,21:30,818.25K,,814.25K
2020年12月17日,21:30,812.50K,,778.25K
2020年12月10日,21:30,776.00K,,740.50K
2020年12月3日,21:30,739.50K,,750.75K
2020年11月25日,21:30,748.50K,,743.50K
2020年11月19日,21:30,742.00K,,755.75K
2020年11月12日,21:30,755.25K,,788.50K
2020年11月5日,21:30,787.00K,,791.00K
2020年10月29日,20:30,787.75K,,812.25K
2020年10月22日,20:30,811.25K,,832.75K
2020年10月15日,20:30,866.25K,,858.25K
2020年10月8日,20:30,857.00K,,870.25K
2020年10月1日,20:30,867.25K,,879.00K
2020年9月24日,20:30,878.25K,,913.50K
2020年9月17日,20:30,912.00K,,973.00K
2020年9月10日,20:30,970.75K,,992.50K
2020年9月3日,20:30,991.75K,,"1,069.25K"
2020年8月27日,20:30,"1,068.00K",,"1,175.25K"
2020年8月20日,20:30,"1,175.75K",,"1,254.75K"
2020年8月13日,20:30,"1,252.75K",,"1,339.00K"
2020年8月6日,20:30,"1,337.75K",,"1,368.75K"
2020年7月30日,20:30,"1,368.50K",,"1,362.00K"
2020年7月23日,20:30,"1,360.25K",,"1,376.75K"
2020年7月16日,20:30,"1,375.00K",,"1,435.00K"
2020年7月9日,20:30,"1,437.25K",,"1,500.25K"
2020年7月2日,20:30,"1,503.75K",,"1,621.25K"
2020年6月25日,20:30,"1,620.75K",,"1,781.50K"
2020年6月18日,20:30,"1,773.50K",,"2,008.00K"
2020年6月11日,20:30,"2,002.00K",,"2,288.25K"
2020年6月4日,20:30,"2,284.00K",,"2,608.75K"
2020年5月28日,20:30,"2,608.00K",,"3,044.00K"
2020年5月21日,20:30,"3,042.00K",,"3,543.00K"
2020年5月14日,20:30,"3,616.50K",,"4,180.50K"
2020年5月7日,20:30,"4,173.50K",,"5,035.00K"
2020年4月30日,20:30,"5,033.25K",,"5,790.25K"
2020年4月23日,20:30,"5,786.50K",,"5,506.50K"
2020年4月16日,20:30,"5,508.50K",,"4,267.75K"
2020年4月9日,20:30,"4,265.50K",,"2,666.75K"
2020年4月2日,20:30,"2,612.00K",,"1,004.25K"
2020年3月26日,20:30,998.25K,,232.50K
2020年3月19日,20:30,232.25K,,215.75K
2020年3月12日,20:30,214.00K,,212.75K
2020年3月5日,21:30,213.00K,,209.75K
2020年2月27日,21:30,209.75K,,209.25K
2020年2月20日,21:30,209.00K,,212.25K
2020年2月13日,21:30,212.00K,,212.00K
2020年2月6日,21:30,211.75K,,214.75K
2020年1月30日,21:30,214.50K,,216.25K
2020年1月23日,21:30,213.25K,,216.50K
2020年1月16日,21:30,216.25K,,224.00K
2020年1月9日,21:30,224.00K,,233.50K
2020年1月2日,21:30,233.25K,,228.50K
2019年12月26日,21:30,228.00K,,225.75K
2019年12月19日,21:30,225.50K,,224.00K
2019年12月12日,21:30,224.00K,,217.75K
2019年12月5日,21:30,217.75K,,219.75K
2019年11月27日,21:30,219.75K,,221.25K
2019年11月21日,21:30,221.00K,,217.50K
2019年11月14日,21:30,217.00K,,215.25K
2019年11月7日,21:30,215.25K,,214.75K
2019年10月31日,20:30,214.75K,,215.25K
2019年10月24日,20:30,215.00K,,215.75K
2019年10月17日,20:30,214.75K,,213.75K
2019年10月10日,20:30,213.75K,,212.75K
2019年10月3日,20:30,212.50K,,212.50K
2019年9月26日,20:30,212.00K,,212.75K
2019年9月19日,20:30,212.25K,,213.00K
2019年9月12日,20:30,212.50K,,216.75K
2019年9月5日,20:30,216.25K,,214.75K
2019年8月29日,20:30,214.50K,,215.00K
2019年8月22日,20:30,214.50K,,214.00K
2019年8月15日,20:30,213.75K,,212.75K
2019年8月8日,20:30,212.25K,,212.00K
2019年8月1日,20:30,211.50K,,213.25K
2019年7月25日,20:30,213.00K,,218.75K
2019年7月18日,20:30,218.75K,,219.00K
2019年7月11日,20:30,219.25K,,222.50K
2019年7月3日,20:30,222.25K,,221.75K
2019年6月27日,20:30,221.25K,,219.00K
2019年6月20日,20:30,218.75K,,217.75K
2019年6月13日,20:30,217.75K,,215.25K
2019年6月6日,20:30,215.00K,,217.50K
2019年5月30日,20:30,216.75K,,220.50K
2019年5月23日,20:30,220.25K,,225.00K
2019年5月16日,20:30,225.00K,,220.25K
2019年5月9日,20:30,220.25K,,212.50K
2019年5月2日,20:30,212.50K,,206.00K
2019年4月25日,20:30,206.00K,,201.50K
2019年4月18日,20:30,201.25K,,207.25K
2019年4月11日,20:30,207.00K,,214.00K
2019年4月4日,20:30,213.50K,,217.50K
2019年3月28日,20:30,217.25K,,220.50K
2019年3月21日,20:30,225.00K,,224.00K
2019年3月14日,20:30,223.75K,,226.25K
2019年3月7日,21:30,226.25K,,229.25K
2019年2月28日,21:30,229.00K,,236.00K
2019年2月21日,21:30,235.75K,,231.75K
2019年2月14日,21:30,231.75K,,225.00K
2019年2月7日,21:30,224.75K,,220.25K
2019年1月31日,21:30,220.25K,,215.25K
2019年1月24日,21:30,215.00K,,220.50K
2019年1月17日,21:30,220.75K,,221.75K
2019年1月10日,21:30,221.75K,,219.25K
2019年1月3日,21:30,218.75K,,219.25K
2018年12月27日,21:30,218.00K,,222.75K
2018年12月20日,21:30,222.00K,,224.75K
