发布日期,时间,今值,预测值,前值
2022年12月29日,21:30,,,"1,672K"
2022年12月22日,21:30,"1,672K","1,683K","1,678K"
2022年12月15日,21:30,"1,671K","1,671K","1,670K"
2022年12月8日,21:30,"1,671K","1,600K","1,609K"
2022年12月1日,21:30,"1,608K","1,573K","1,551K"
2022年11月23日,21:30,"1,551K","1,517K","1,503K"
2022年11月17日,21:30,"1,507K","1,500K","1,494K"
2022年11月10日,21:30,"1,493K","1,475K","1,487K"
2022年11月3日,20:30,"1,485K","1,450K","1,438K"
2022年10月27日,20:30,"1,438K","1,388K","1,383K"
2022年10月20日,20:30,"1,385K","1,375K","1,364K"
2022年10月13日,20:30,"1,368K","1,365K","1,365K"
2022年10月6日,20:30,"1,361K","1,345K","1,346K"
2022年9月29日,20:30,"1,347K","1,388K","1,376K"
2022年9月22日,20:30,"1,379K","1,400K","1,401K"
2022年9月15日,20:30,"1,403K","1,475K","1,401K"
2022年9月8日,20:30,"1,473K","1,435K","1,437K"
2022年9月1日,20:30,"1,438K","1,438K","1,412K"
2022年8月25日,20:30,"1,415K","1,442K","1,434K"
2022年8月18日,20:30,"1,437K","1,438K","1,430K"
2022年8月11日,20:30,"1,428K","1,407K","1,420K"
2022年8月4日,20:30,"1,416K","1,370K","1,368K"
2022年7月28日,20:30,"1,359K","1,380K","1,384K"
2022年7月21日,20:30,"1,384K","1,340K","1,333K"
2022年7月14日,20:30,"1,331K","1,383K","1,372K"
2022年7月7日,20:30,"1,375K","1,327K","1,324K"
2022年6月30日,20:30,"1,328K","1,310K","1,331K"
2022年6月23日,20:30,"1,315K","1,315K","1,310K"
2022年6月16日,20:30,"1,312K","1,302K","1,309K"
2022年6月9日,20:30,"1,306K","1,305K","1,306K"
2022年6月2日,20:30,"1,309K","1,325K","1,343K"
2022年5月26日,20:30,"1,346K","1,310K","1,315K"
2022年5月19日,20:30,"1,317K","1,320K","1,342K"
2022年5月12日,20:30,"1,343K","1,380K","1,387K"
2022年5月5日,20:30,"1,384K","1,400K","1,403K"
2022年4月28日,20:30,"1,408K","1,403K","1,409K"
2022年4月21日,20:30,"1,417K","1,455K","1,475K"
2022年4月14日,20:30,"1,475K","1,500K","1,523K"
2022年4月7日,20:30,"1,523K","1,311K","1,506K"
2022年3月31日,20:30,"1,307K","1,350K","1,342K"
2022年3月24日,20:30,"1,350K","1,410K","1,417K"
2022年3月17日,20:30,"1,419K","1,485K","1,490K"
2022年3月10日,21:30,"1,494K","1,460K","1,469K"
2022年3月3日,21:30,"1,476K","1,475K","1,474K"
2022年2月24日,21:30,"1,476K","1,580K","1,588K"
2022年2月17日,21:30,"1,593K","1,605K","1,619K"
2022年2月10日,21:30,"1,621K","1,615K","1,621K"
2022年2月3日,21:30,"1,628K","1,620K","1,672K"
2022年1月27日,21:30,"1,675K","1,650K","1,624K"
2022年1月20日,21:30,"1,635K","1,580K","1,551K"
2022年1月13日,21:30,"1,559K","1,733K","1,753K"
2022年1月6日,21:30,"1,754K","1,688K","1,718K"
2021年12月30日,21:30,"1,716K","1,868K","1,856K"
2021年12月23日,21:30,"1,859K","1,820K","1,867K"
2021年12月16日,21:30,"1,845K","1,936K","1,999K"
2021年12月9日,21:30,"1,992K","1,900K","1,954K"
2021年12月2日,21:30,"1,956K","2,000K","2,063K"
2021年11月24日,21:30,"2,049K","2,033K","2,109K"
2021年11月18日,21:30,"2,080K","2,120K","2,209K"
2021年11月10日,21:30,"2,160K","2,095K","2,101K"
2021年11月4日,20:30,"2,105K","2,118K","2,239K"
2021年10月28日,20:30,"2,243K","2,415K","2,480K"
2021年10月21日,20:30,"2,481K","2,550K","2,603K"
2021年10月14日,20:30,"2,593K","2,675K","2,727K"
2021年10月7日,20:30,"2,714K","2,780K","2,811K"
2021年9月30日,20:30,"2,802K","2,800K","2,820K"
2021年9月23日,20:30,"2,845K","2,650K","2,714K"
2021年9月16日,20:30,"2,665K","2,785K","2,852K"
2021年9月9日,20:30,"2,783K","2,744K","2,805K"
2021年9月2日,20:30,"2,748K","2,775K","2,908K"
2021年8月26日,20:30,"2,862K","2,790K","2,865K"
2021年8月19日,20:30,"2,820K","2,800K","2,899K"
2021年8月12日,20:30,"2,866K","2,880K","2,980K"
2021年8月5日,20:30,"2,930K","3,260K","3,296K"
2021年7月29日,20:30,"3,269K","3,196K","3,262K"
2021年7月22日,20:30,"3,236K","3,100K","3,265K"
2021年7月15日,20:30,"3,241K","3,313K","3,367K"
2021年7月8日,20:30,"3,339K","3,335K","3,484K"
2021年7月1日,20:30,"3,469K","3,382K","3,413K"
2021年6月24日,20:30,"3,390K","3,470K","3,534K"
2021年6月17日,20:30,"3,518K","3,430K","3,517K"
2021年6月10日,20:30,"3,499K","3,602K","3,757K"
2021年6月3日,20:30,"3,771K","3,615K","3,738K"
2021年5月27日,20:30,"3,642K","3,680K","3,738K"
2021年5月20日,20:30,"3,751K","3,640K","3,640K"
2021年5月13日,20:30,"3,655K","3,655K","3,700K"
2021年5月6日,20:30,"3,690K","3,620K","3,653K"
2021年4月29日,20:30,"3,660K","3,614K","3,651K"
2021年4月22日,20:30,"3,674K","3,667K","3,708K"
2021年4月15日,20:30,"3,731K","3,700K","3,727K"
2021年4月8日,20:30,"3,734K","3,650K","3,750K"
2021年4月1日,20:30,"3,794K","3,775K","3,840K"
2021年3月25日,20:30,"3,870K","4,043K","4,134K"
2021年3月18日,20:30,"4,124K","4,070K","4,142K"
2021年3月11日,21:30,"4,144K","4,220K","4,337K"
2021年3月4日,21:30,"4,295K","4,300K","4,419K"
2021年2月25日,21:30,"4,419K","4,467K","4,520K"
2021年2月18日,21:30,"4,494K","4,413K","4,558K"
2021年2月11日,21:30,"4,545K","4,490K","4,690K"
2021年2月4日,21:30,"4,592K","4,700K","4,785K"
2021年1月28日,21:30,"4,771K","5,054K","4,974K"
2021年1月21日,21:30,"5,054K","5,400K","5,181K"
2021年1月14日,21:30,"5,271K","5,061K","5,072K"
2021年1月7日,21:30,"5,072K","5,200K","5,198K"
2020年12月31日,21:30,"5,219K","5,390K","5,322K"
2020年12月23日,21:30,"5,337K","5,558K","5,507K"
2020年12月17日,21:30,"5,508K","5,598K","5,781K"
2020年12月10日,21:30,"5,757K","5,335K","5,527K"
2020年12月3日,21:30,"5,520K","5,915K","6,089K"
2020年11月25日,21:30,"6,071K","6,020K","6,370K"
2020年11月19日,21:30,"6,372K","6,470K","6,801K"
2020年11月12日,21:30,"6,786K","6,900K","7,222K"
2020年11月5日,21:30,"7,285K","7,200K","7,823K"
2020年10月29日,20:30,"7,756K","7,700K","8,465K"
2020年10月22日,20:30,"8,373K","9,500K","9,397K"
2020年10月15日,20:30,"10,018K","10,700K","11,183K"
2020年10月8日,20:30,"10,976K","11,400K","11,979K"
2020年10月1日,20:30,"11,767K","12,225K","12,747K"
2020年9月24日,20:30,"12,580K","12,300K","12,747K"
2020年9月17日,20:30,"12,628K","13,000K","13,544K"
2020年9月10日,20:30,"13,385K","12,925K","13,292K"
2020年9月3日,20:30,"13,254K","14,000K","14,492K"
2020年8月27日,20:30,"14,535K","14,450K","14,758K"
2020年8月20日,20:30,"14,844K","15,000K","15,480K"
2020年8月13日,20:30,"15,486K","15,898K","16,090K"
2020年8月6日,20:30,"16,107K","16,720K","16,951K"
2020年7月30日,20:30,"17,018K","16,200K","16,151K"
2020年7月23日,20:30,"16,197K","17,067K","17,304K"
2020年7月16日,20:30,"17,338K","17,600K","17,760K"
2020年7月9日,20:30,"18,062K","18,950K","18,760K"
2020年7月2日,20:30,"19,290K","19,000K","19,231K"
2020年6月25日,20:30,"19,522K","19,968K","20,289K"
2020年6月18日,20:30,"20,544K","19,800K","20,606K"
2020年6月11日,20:30,"20,929K","20,000K","21,268K"
2020年6月4日,20:30,"21,487K","20,050K","20,838K"
2020年5月28日,20:30,"21,052K","25,750K","24,912K"
2020年5月21日,20:30,"25,073K","24,765K","22,548K"
2020年5月14日,20:30,"22,833K","25,100K","22,377K"
2020年5月7日,20:30,"22,647K","19,905K","18,011K"
2020年4月30日,20:30,"17,992K","19,238K","15,818K"
2020年4月23日,20:30,"15,976K","16,476K","11,912K"
2020年4月16日,20:30,"11,976K","13,500K","7,446K"
2020年4月9日,20:30,"7,455K","8,000K","3,059K"
2020年4月2日,20:30,"3,029K","4,882K","1,784K"
2020年3月26日,20:30,"1,803K",,"1,702K"
2020年3月19日,20:30,"1,701K","1,725K","1,699K"
2020年3月12日,20:30,"1,722K","1,723K","1,733K"
2020年3月5日,21:30,"1,729K","1,733K","1,722K"
2020年2月27日,21:30,"1,724K","1,715K","1,733K"
2020年2月20日,21:30,"1,726K","1,720K","1,701K"
2020年2月13日,21:30,"1,698K","1,745K","1,759K"
