发布日期,时间,今值,预测值,前值
2022年12月13日,15:00,,6.2%,6.0%
2022年11月15日,15:00,6.0%,5.9%,6.1%
2022年10月11日,14:00,6.0%,5.9%,5.5%
2022年9月13日,14:00,5.5%,5.4%,5.2%
2022年8月16日,14:00,5.1%,4.5%,6.4%
2022年7月19日,14:00,6.2%,6.7%,6.8%
2022年6月14日,14:00,6.8%,7.6%,7.0%
2022年5月17日,14:00,7.0%,5.4%,5.6%
2022年4月12日,14:00,5.4%,5.4%,4.8%
2022年3月15日,15:00,4.8%,4.6%,4.6%
2022年2月15日,15:00,4.3%,3.8%,4.2%
2022年1月18日,15:00,4.2%,4.2%,4.9%
2021年12月14日,15:00,4.9%,4.6%,5.9%
2021年11月16日,15:00,5.8%,5.6%,7.2%
2021年10月12日,14:00,7.2%,7.0%,8.3%
2021年9月14日,14:00,8.3%,8.2%,8.8%
2021年8月17日,14:00,8.8%,8.6%,7.4%
2021年7月15日,14:00,7.3%,7.1%,5.7%
2021年6月15日,14:00,5.6%,4.9%,4.3%
2021年5月18日,14:00,4.0%,4.5%,4.5%
2021年4月20日,14:00,4.5%,4.8%,4.8%
2021年3月23日,15:00,4.8%,4.9%,4.7%
2021年2月23日,15:00,4.7%,4.1%,3.7%
2021年1月26日,15:00,3.6%,2.9%,2.8%
2020年12月15日,15:00,2.7%,2.2%,1.3%
2020年11月10日,15:00,1.3%,1.0%,0.1%
2020年10月13日,14:00,0.0%,-0.6%,-1.0%
2020年9月15日,14:00,-1.0%,-1.3%,-1.2%
2020年8月11日,14:00,-1.2%,-1.1%,-0.3%
2020年7月16日,14:00,-0.3%,-0.4%,1.0%
2020年6月16日,14:00,1.0%,1.4%,2.3%
2020年5月19日,14:00,2.4%,2.6%,2.8%
2020年4月21日,14:00,2.8%,3.0%,3.1%
2020年3月17日,17:30,3.1%,3.0%,2.9%
2020年2月18日,17:30,2.9%,3.0%,3.2%
2020年1月21日,17:30,3.2%,3.1%,3.2%
2019年12月17日,17:30,3.2%,3.4%,3.7%
2019年11月12日,17:30,3.6%,3.8%,3.7%
2019年10月15日,16:30,3.8%,4.0%,3.9%
2019年9月10日,16:30,4.0%,3.7%,3.8%
2019年8月13日,16:30,3.7%,3.7%,3.5%
2019年7月16日,16:30,3.4%,3.1%,3.2%
2019年6月11日,16:30,3.1%,2.9%,3.3%
2019年5月14日,16:30,3.2%,3.4%,3.5%
2019年4月16日,16:30,3.5%,3.5%,3.5%
2019年3月19日,17:30,3.4%,3.2%,3.5%
2019年2月19日,17:30,3.4%,3.5%,3.4%
2019年1月22日,17:30,3.4%,3.3%,3.3%
2018年12月11日,17:30,3.3%,3.0%,3.1%
2018年11月13日,17:30,3.0%,3.0%,2.8%
2018年10月16日,16:30,2.7%,2.6%,2.6%
2018年9月11日,16:30,2.6%,2.4%,2.4%
2018年8月14日,16:30,2.4%,2.5%,2.5%
2018年7月17日,16:30,2.5%,2.5%,2.6%
2018年6月12日,16:30,2.5%,2.5%,2.6%
2018年5月15日,16:30,2.6%,2.7%,2.8%
2018年4月17日,16:30,2.8%,3.0%,2.8%
2018年3月21日,17:30,2.8%,2.6%,2.7%
2018年2月21日,17:30,2.5%,2.5%,2.5%
2018年1月24日,17:30,2.5%,2.5%,2.5%
2017年12月13日,17:30,2.5%,2.5%,2.3%
2017年11月15日,17:30,2.2%,2.1%,2.3%
2017年10月18日,16:30,2.2%,2.1%,2.2%
2017年9月13日,16:30,2.1%,2.3%,2.1%
2017年8月16日,16:30,2.1%,1.8%,1.9%
2017年7月12日,16:30,1.8%,1.8%,2.1%
2017年6月14日,16:30,2.1%,2.4%,2.3%
2017年5月17日,16:30,2.4%,2.4%,2.3%
2017年4月12日,16:30,2.3%,2.2%,2.3%
2017年3月15日,17:30,2.2%,2.4%,2.6%
2017年2月15日,17:30,2.6%,2.8%,2.8%
2017年1月18日,17:30,2.8%,2.6%,2.6%
2016年12月14日,17:30,2.5%,2.3%,2.4%
2016年11月16日,17:30,2.3%,2.4%,2.3%
2016年10月19日,16:30,2.3%,2.3%,2.4%
2016年9月14日,16:30,2.3%,2.1%,2.5%
2016年8月17日,16:30,2.4%,2.4%,2.3%
2016年7月20日,16:30,2.3%,2.3%,2.0%
2016年6月15日,16:30,2.0%,1.7%,2.0%
2016年5月18日,16:30,2.0%,1.7%,1.9%
2016年4月20日,16:30,1.8%,2.3%,2.1%
2016年3月16日,17:30,2.1%,2.0%,1.9%
2016年2月17日,17:30,1.9%,1.9%,2.1%
2016年1月20日,17:30,2.0%,2.1%,2.4%
2015年12月16日,17:30,2.4%,2.5%,3.0%
2015年11月11日,17:30,3.0%,3.2%,3.0%
2015年10月14日,16:30,3.0%,3.1%,2.9%
