发布日期,时间,今值,预测值,前值
2022年12月13日,15:00,,3.5K,3.3K
2022年11月15日,15:00,3.3K,17.3K,3.9K
2022年10月11日,14:00,25.5K,4.2K,1.1K
2022年9月13日,14:00,6.3K,-13.2K,-14.5K
2022年8月16日,14:00,-10.5K,-32.0K,-26.8K
2022年7月19日,14:00,-20.0K,-41.2K,-34.7K
2022年6月14日,14:00,-19.7K,-49.4K,-65.5K
2022年5月17日,14:00,-56.9K,-42.5K,-81.6K
2022年4月12日,14:00,-46.9K,-41.1K,-58.0K
2022年3月15日,15:00,-48.1K,-28.0K,-67.3K
2022年2月15日,15:00,-31.9K,-28.0K,-51.6K
2022年1月18日,15:00,-43.3K,-38.6K,-95.1K
2021年12月14日,15:00,-49.8K,,-14.9K
2021年11月16日,15:00,-14.9K,,-51.1K
2021年10月12日,14:00,-51.1K,,-58.6K
2021年9月14日,14:00,-58.6K,,-48.9K
2021年8月17日,14:00,-7.8K,,-114.8K
2021年7月15日,14:00,-114.8K,,-92.6K
2021年6月15日,14:00,-92.6K,,-55.8K
2021年5月18日,14:00,-15.1K,,-19.4K
2021年4月20日,14:00,10.1K,,86.6K
2021年3月23日,15:00,86.6K,,-20.8K
2021年2月23日,15:00,-20.0K,35.0K,-20.4K
2021年1月26日,15:00,7.0K,35.0K,38.1K
2020年12月15日,15:00,64.3K,50.0K,-29.8K
2020年11月10日,15:00,-29.8K,50.0K,-40.2K
2020年10月13日,14:00,28.0K,78.8K,73.7K
2020年9月15日,14:00,73.7K,100.0K,69.9K
2020年8月11日,14:00,94.4K,10.0K,-28.1K
2020年7月16日,14:00,-28.1K,250.0K,566.4K
2020年6月16日,14:00,528.9K,400.0K,"1,032.7K"
2020年5月19日,14:00,856.5K,676.5K,12.1K
2020年4月21日,14:00,12.1K,172.5K,5.9K
2020年3月17日,17:30,17.3K,21.4K,-0.2K
2020年2月18日,17:30,5.5K,22.6K,2.6K
2020年1月21日,17:30,14.9K,22.6K,14.9K
2019年12月17日,17:30,28.8K,21.2K,26.4K
2019年11月12日,17:30,33.0K,24.2K,13.5K
2019年10月15日,16:30,21.1K,26.5K,16.3K
2019年9月10日,16:30,28.2K,29.3K,19.8K
2019年8月13日,16:30,28.0K,32.0K,31.4K
2019年7月16日,16:30,38.0K,18.9K,24.5K
2019年6月11日,16:30,23.2K,22.9K,19.1K
2019年5月14日,16:30,24.7K,24.2K,22.6K
2019年4月16日,16:30,28.3K,20.0K,26.7K
2019年3月19日,17:30,27.0K,13.1K,15.7K
2019年2月19日,17:30,14.2K,12.3K,20.8K
2019年1月22日,17:30,20.8K,20.0K,24.8K
2018年12月11日,17:30,21.9K,13.2K,23.2K
2018年11月13日,17:30,20.2K,4.3K,23.2K
2018年10月16日,16:30,18.5K,4.5K,14.2K
2018年9月11日,16:30,8.7K,10.0K,10.2K
2018年8月14日,16:30,6.2K,3.8K,9.0K
2018年7月17日,16:30,7.8K,2.3K,-3.0K
2018年6月12日,16:30,-7.7K,11.3K,28.2K
2018年5月15日,16:30,31.2K,13.3K,15.7K
2018年4月17日,16:30,11.6K,13.3K,15.1K
2018年3月21日,17:30,9.2K,-3.1K,-1.6K
2018年2月21日,17:30,-7.2K,2.3K,6.2K
2018年1月24日,17:30,8.6K,5.4K,12.2K
2017年12月13日,17:30,5.9K,3.2K,6.5K
2017年11月15日,17:30,1.1K,2.3K,2.6K
2017年10月18日,16:30,1.7K,1.0K,-0.2K
2017年9月13日,16:30,-2.8K,0.6K,-2.9K
2017年8月16日,16:30,-4.2K,3.7K,3.5K
2017年7月12日,16:30,6.0K,10.0K,7.5K
2017年6月14日,16:30,7.3K,20.3K,22.0K
2017年5月17日,16:30,19.4K,7.5K,33.5K
