发布日期	时间	今值	预测值	前值
2023年1月27日	(12月)	21:30			4.7%
2022年12月23日	(11月)	21:30	4.7%	4.7%	5.0%
2022年12月1日	(10月)	21:30	5.0%	5.0%	5.2%
2022年10月28日	(9月)	20:30	5.1%	5.2%	4.9%
2022年9月30日	(8月)	20:30	4.9%	4.7%	4.7%
2022年8月26日	(7月)	20:30	4.6%	4.7%	4.8%
2022年7月29日	20:30	4.8%	4.7%	4.7%
2022年6月30日	20:30	4.7%	4.8%	4.9%
2022年5月27日	20:30	4.9%	4.9%	5.2%
2022年4月29日	20:30	5.2%	5.3%	5.3%
2022年3月31日	20:30	5.4%	5.5%	5.2%
2022年2月25日	21:30	5.2%	5.1%	4.9%
2022年1月28日	21:30	4.9%	4.8%	4.7%
2021年12月23日	21:30	4.7%	4.5%	4.2%
2021年11月24日	23:00	4.1%	4.1%	3.7%
2021年10月29日	20:30	3.6%	3.7%	3.6%
2021年10月1日	20:30	3.6%	3.6%	3.6%
2021年8月27日	20:30	3.6%	3.6%	3.6%
2021年7月30日	20:30	3.5%	3.7%	3.4%
2021年6月25日	20:30	3.4%	3.4%	3.1%
2021年5月28日	20:30	3.1%	2.9%	1.9%
2021年4月30日	20:30	1.8%	1.8%	1.4%
2021年3月26日	21:30	1.4%	1.5%	1.5%
2021年2月26日	21:30	1.5%	1.4%	1.4%
2021年1月29日	21:30	1.5%	1.3%	1.4%
2020年12月23日	21:30	1.4%	1.5%	1.4%
2020年11月25日	23:00	1.4%	1.4%	1.6%
2020年10月30日	20:30	1.5%	1.7%	1.4%
2020年10月1日	20:30	1.6%	1.4%	1.4%
2020年8月28日	20:30	1.3%	1.2%	1.1%
2020年7月31日	20:30	0.9%	1.0%	1.0%
2020年6月26日	20:30	1.0%	0.9%	1.0%
2020年5月29日	20:30	1.0%	1.1%	1.7%
2020年4月30日	20:30	1.7%	1.6%	1.8%
2020年3月27日	20:30	1.8%	1.7%	1.7%
2020年2月28日	21:30	1.6%	1.7%	1.5%
2020年1月31日	21:30	1.6%	1.6%	1.5%
2019年12月20日	23:00	1.6%	1.6%	1.7%
2019年11月27日	23:00	1.6%	1.7%	1.7%
2019年10月31日	20:30	1.7%	1.7%	1.8%
2019年9月27日	20:30	1.8%	1.8%	1.7%
2019年8月30日	20:30	1.6%	1.6%	1.6%
2019年7月30日	20:30	1.6%	1.7%	1.5%
2019年6月28日	20:30	1.6%	1.6%	1.6%
2019年5月31日	20:30	1.6%	1.6%	1.5%
2019年4月29日	20:30	1.6%	1.7%	1.7%
2019年4月29日	20:30	1.6%	1.7%	1.8%
2019年3月29日	20:30	1.8%	1.9%	2.0%
2019年3月1日	21:30	1.9%	1.9%	1.9%
2018年12月21日	23:00	1.9%	1.9%	1.8%
2018年11月29日	21:30	1.8%	1.9%	1.9%
2018年10月29日	20:30	2.0%	2.0%	2.0%
2018年9月28日	20:30	2.0%	2.0%	2.0%
2018年8月30日	20:30	2.0%	2.0%	1.9%
2018年7月31日	20:30	1.9%	2.0%	1.9%
2018年6月29日	20:30	2.0%	1.9%	1.8%
2018年5月31日	20:30	1.8%	1.8%	1.8%
2018年4月30日	20:30	1.9%	1.9%	1.6%
2018年3月29日	20:30	1.6%	1.6%	1.5%
2018年3月1日	21:30	1.5%	1.5%	1.5%
2018年1月29日	21:30	1.5%	1.5%	1.5%
2017年12月22日	21:30	1.5%	1.5%	1.4%
2017年11月30日	21:30	1.4%	1.4%	1.4%
2017年10月30日	20:30	1.3%	1.3%	1.3%
2017年9月29日	20:30	1.3%	1.4%	1.4%
2017年8月31日	20:30	1.4%	1.4%	1.5%
2017年8月1日	20:30	1.5%	1.3%	1.5%
2017年6月30日	20:30	1.4%	1.4%	1.5%
2017年5月30日	20:30	1.5%	1.5%	1.6%
2017年5月1日	20:30	1.6%		1.8%
2017年3月31日	20:30	1.8%	1.7%	1.8%
2017年3月1日	21:30	1.7%	1.8%	1.7%
2017年1月30日	21:30	1.7%	1.7%	1.7%
2016年12月22日	23:00	1.6%		1.8%
2016年11月30日	21:30	1.7%		1.7%
2016年10月31日	20:30	1.7%	1.7%	1.7%
2016年9月30日	20:30	1.7%	1.7%	1.6%
2016年8月29日	20:30	1.6%	1.5%	1.6%
2016年8月2日	20:30	1.6%	1.6%	1.6%
2016年6月29日	20:30	1.6%	1.6%	1.6%
2016年5月31日	20:30	1.6%	1.6%	1.6%
2016年4月29日	20:30	1.6%		1.7%
2016年3月28日	20:30	1.7%	1.8%	1.7%
2016年2月26日	23:00	1.7%	1.5%	1.5%
2016年2月1日	21:30	1.4%	1.4%	1.4%
2015年12月23日	21:30	1.3%	1.4%	1.3%
2015年11月25日	21:30	1.3%	1.3%	1.3%
2015年10月30日	20:30	1.3%		1.3%
2015年9月28日	20:30	1.3%	1.2%	1.2%
2015年8月28日	20:30	1.2%	1.3%	1.3%
2015年8月3日	20:30	1.3%	1.2%	1.3%
2015年6月25日	20:30	1.2%	1.2%	1.3%
2015年6月1日	20:30	1.2%	1.3%	1.3%
2015年4月30日	20:30	1.3%	1.4%	1.3%
2015年3月30日	20:30	1.4%	1.3%	1.3%
2015年3月2日	21:30	1.3%	1.2%	1.3%
2015年2月2日	21:30	1.3%	1.3%	1.4%
2014年12月23日	23:00	1.4%		1.5%
2014年11月26日	21:30	1.6%	1.5%	1.5%
2014年10月31日	20:30	1.5%		1.5%
2014年9月29日	20:30	1.5%		1.5%
2014年8月29日	20:30	1.5%		1.5%
2014年7月1日	17:00	1.50%		1.50%
2014年6月1日	17:00	1.50%		1.40%
2014年5月1日	17:00	1.40%		1.30%
2014年4月1日	17:00	1.30%		1.20%
2014年3月1日	17:00	1.20%		1.20%
2014年2月1日	17:00	1.20%		1.30%
