发布日期,美国核心PCE物价指数月率,今值,预测值,前值,美国核心个人消费支出平减指数(PCE)年化季率,今值,预测值,前值
2022年12月23日,21:30,0.20%,0.20%,0.30%,21:30,4.70%,4.70%,5.00%
2022年12月1日,20:30,0.20%,0.30%,0.50%,21:30,5.00%,5.00%,5.20%
2022年10月28日,20:30,0.50%,0.50%,0.50%,20:30,5.10%,5.20%,4.90%
2022年9月30日,20:30,0.60%,0.50%,0.10%,20:30,4.90%,4.70%,4.70%
2022年8月26日,20:30,0.10%,0.30%,0.60%,20:30,4.60%,4.70%,4.80%
2022年7月29日,20:30,0.60%,0.50%,0.30%,20:30,4.80%,4.70%,4.70%
2022年6月30日,20:30,0.30%,0.40%,0.30%,20:30,4.70%,4.80%,4.90%
2022年5月27日,20:30,0.30%,0.30%,0.30%,20:30,4.90%,4.90%,5.20%
2022年4月29日,20:30,0.30%,0.30%,0.30%,20:30,5.20%,5.30%,5.30%
2022年3月31日,21:30,0.40%,0.40%,0.50%,20:30,5.40%,5.50%,5.20%
2022年2月25日,21:30,0.50%,0.50%,0.50%,21:30,5.20%,5.10%,4.90%
2022年1月28日,21:30,0.50%,0.50%,0.50%,21:30,4.90%,4.80%,4.70%
2021年12月23日,23:00,0.50%,0.40%,0.50%,21:30,4.70%,4.50%,4.20%
2021年11月24日,20:30,0.40%,0.40%,0.20%,23:00,4.10%,4.10%,3.70%
2021年10月29日,20:30,0.20%,0.20%,0.30%,20:30,3.60%,3.70%,3.60%
2021年10月1日,20:30,0.30%,0.20%,0.30%,20:30,3.60%,3.60%,3.60%
2021年8月27日,20:30,0.30%,0.30%,0.50%,20:30,3.60%,3.60%,3.60%
2021年7月30日,20:30,0.40%,0.60%,0.50%,20:30,3.50%,3.70%,3.40%
2021年6月25日,20:30,0.50%,0.60%,0.70%,20:30,3.40%,3.40%,3.10%
2021年5月28日,20:30,0.70%,0.60%,0.40%,20:30,3.10%,2.90%,1.90%
2021年4月30日,21:30,0.40%,0.30%,0.10%,20:30,1.80%,1.80%,1.40%
2021年3月26日,21:30,0.10%,0.10%,0.20%,21:30,1.40%,1.50%,1.50%
2021年2月26日,21:30,0.30%,0.20%,0.30%,21:30,1.50%,1.40%,1.40%
2021年1月29日,21:30,0.30%,0.10%,0.00%,21:30,1.50%,1.30%,1.40%
2020年12月23日,23:00,0.00%,0.10%,0.20%,21:30,1.40%,1.50%,1.40%
2020年11月25日,20:30,0.00%,0.10%,0.20%,23:00,1.40%,1.40%,1.60%
2020年10月30日,20:30,0.20%,0.20%,0.30%,20:30,1.50%,1.70%,1.40%
2020年10月1日,20:30,0.30%,0.30%,0.40%,20:30,1.60%,1.40%,1.40%
2020年8月28日,20:30,0.30%,0.50%,0.30%,20:30,1.30%,1.20%,1.10%
2020年7月31日,20:30,0.20%,0.20%,0.20%,20:30,0.90%,1.00%,1.00%
2020年6月26日,20:30,0.10%,0.20%,-0.40%,20:30,1.00%,0.90%,1.00%
2020年5月29日,20:30,-0.40%,-0.30%,-0.10%,20:30,1.00%,1.10%,1.70%
2020年4月30日,20:30,-0.10%,-0.10%,0.20%,20:30,1.70%,1.60%,1.80%
2020年3月27日,21:30,0.20%,0.20%,0.20%,20:30,1.80%,1.70%,1.70%
2020年2月28日,21:30,0.10%,0.20%,0.20%,21:30,1.60%,1.70%,1.50%
2020年1月31日,23:00,0.20%,0.10%,0.10%,21:30,1.60%,1.60%,1.50%
2019年12月20日,23:00,0.10%,0.10%,0.10%,23:00,1.60%,1.60%,1.70%
2019年11月27日,20:30,0.10%,0.20%,0.00%,23:00,1.60%,1.70%,1.70%
2019年10月31日,20:30,0.00%,0.10%,0.10%,20:30,1.70%,1.70%,1.80%
2019年9月27日,20:30,0.10%,0.20%,0.20%,20:30,1.80%,1.80%,1.70%
2019年8月30日,20:30,0.20%,0.30%,0.20%,20:30,1.60%,1.60%,1.60%
2019年7月30日,20:30,0.20%,0.20%,0.20%,20:30,1.60%,1.70%,1.50%
2019年6月28日,20:30,0.20%,0.20%,0.20%,20:30,1.60%,1.60%,1.60%
2019年5月31日,20:30,0.20%,0.20%,0.10%,20:30,1.60%,1.60%,1.50%
2019年4月29日,20:30,0.10%,0.20%,0.10%,20:30,1.60%,1.70%,1.70%
2019年4月29日,20:30,0.00%,0.10%,0.10%,20:30,1.60%,1.70%,1.80%
2019年3月29日,21:30,0.10%,0.20%,0.20%,20:30,1.80%,1.90%,2.00%
2019年3月1日,23:00,0.20%,0.20%,0.20%,21:30,1.90%,1.90%,1.90%
2018年12月21日,21:30,0.10%,0.20%,0.10%,23:00,1.90%,1.90%,1.80%
2018年11月29日,20:30,0.10%,0.20%,0.20%,21:30,1.80%,1.90%,1.90%
2018年10月29日,20:30,0.20%,0.10%,0.00%,20:30,2.00%,2.00%,2.00%
2018年9月28日,20:30,0.00%,0.10%,0.20%,20:30,2.00%,2.00%,2.00%
2018年8月30日,20:30,0.20%,0.20%,0.10%,20:30,2.00%,2.00%,1.90%
2018年7月31日,20:30,0.10%,0.10%,0.20%,20:30,1.90%,2.00%,1.90%
2018年6月29日,20:30,0.20%,0.20%,0.20%,20:30,2.00%,1.90%,1.80%
2018年5月31日,20:30,0.20%,0.10%,0.20%,20:30,1.80%,1.80%,1.80%
2018年4月30日,20:30,0.20%,0.20%,0.20%,20:30,1.90%,1.90%,1.60%
2018年3月29日,21:30,0.20%,0.20%,0.30%,20:30,1.60%,1.60%,1.50%
2018年3月1日,21:30,0.30%,0.30%,0.20%,21:30,1.50%,1.50%,1.50%
2018年1月29日,21:30,0.20%,0.20%,0.10%,21:30,1.50%,1.50%,1.50%
2017年12月22日,21:30,0.10%,0.10%,0.20%,21:30,1.50%,1.50%,1.40%
2017年11月30日,20:30,0.20%,0.20%,0.20%,21:30,1.40%,1.40%,1.40%
2017年10月30日,20:30,0.10%,0.10%,0.10%,20:30,1.30%,1.30%,1.30%
2017年9月29日,20:30,0.10%,0.20%,0.10%,20:30,1.30%,1.40%,1.40%
2017年8月31日,20:30,0.10%,0.10%,0.10%,20:30,1.40%,1.40%,1.50%
2017年8月1日,20:30,0.10%,0.10%,0.10%,20:30,1.50%,1.30%,1.50%
2017年6月30日,20:30,0.10%,0.10%,0.10%,20:30,1.40%,1.40%,1.50%
