发布日期,时间,今值,预测值,前值
2022年12月23日,21:30,0.2%,0.2%,0.3%
2022年12月1日,21:30,0.2%,0.3%,0.5%
2022年10月28日,20:30,0.5%,0.5%,0.5%
2022年9月30日,20:30,0.6%,0.5%,0.1%
2022年8月26日,20:30,0.1%,0.3%,0.6%
2022年7月29日,20:30,0.6%,0.5%,0.3%
2022年6月30日,20:30,0.3%,0.4%,0.3%
2022年5月27日,20:30,0.3%,0.3%,0.3%
2022年4月29日,20:30,0.3%,0.3%,0.3%
2022年3月31日,20:30,0.4%,0.4%,0.5%
2022年2月25日,21:30,0.5%,0.5%,0.5%
2022年1月28日,21:30,0.5%,0.5%,0.5%
2021年12月23日,21:30,0.5%,0.4%,0.5%
2021年11月24日,23:00,0.4%,0.4%,0.2%
2021年10月29日,20:30,0.2%,0.2%,0.3%
2021年10月1日,20:30,0.3%,0.2%,0.3%
2021年8月27日,20:30,0.3%,0.3%,0.5%
2021年7月30日,20:30,0.4%,0.6%,0.5%
2021年6月25日,20:30,0.5%,0.6%,0.7%
2021年5月28日,20:30,0.7%,0.6%,0.4%
2021年4月30日,20:30,0.4%,0.3%,0.1%
2021年3月26日,21:30,0.1%,0.1%,0.2%
2021年2月26日,21:30,0.3%,0.2%,0.3%
2021年1月29日,21:30,0.3%,0.1%,0.0%
2020年12月23日,21:30,0.0%,0.1%,0.2%
2020年11月25日,23:00,0.0%,0.1%,0.2%
2020年10月30日,20:30,0.2%,0.2%,0.3%
2020年10月1日,20:30,0.3%,0.3%,0.4%
2020年8月28日,20:30,0.3%,0.5%,0.3%
2020年7月31日,20:30,0.2%,0.2%,0.2%
2020年6月26日,20:30,0.1%,0.2%,-0.4%
2020年5月29日,20:30,-0.4%,-0.3%,-0.1%
2020年4月30日,20:30,-0.1%,-0.1%,0.2%
2020年3月27日,20:30,0.2%,0.2%,0.2%
2020年2月28日,21:30,0.1%,0.2%,0.2%
2020年1月31日,21:30,0.2%,0.1%,0.1%
