发布日期,时间,今值,预测值,前值
21:30,4.70%,4.70%,5.00%,
21:30,5.00%,5.00%,5.20%,
20:30,5.10%,5.20%,4.90%,
20:30,4.90%,4.70%,4.70%,
20:30,4.60%,4.70%,4.80%,
20:30,4.80%,4.70%,4.70%,
20:30,4.70%,4.80%,4.90%,
20:30,4.90%,4.90%,5.20%,
20:30,5.20%,5.30%,5.30%,
20:30,5.40%,5.50%,5.20%,
21:30,5.20%,5.10%,4.90%,
21:30,4.90%,4.80%,4.70%,
21:30,4.70%,4.50%,4.20%,
23:00,4.10%,4.10%,3.70%,
20:30,3.60%,3.70%,3.60%,
20:30,3.60%,3.60%,3.60%,
20:30,3.60%,3.60%,3.60%,
20:30,3.50%,3.70%,3.40%,
20:30,3.40%,3.40%,3.10%,
20:30,3.10%,2.90%,1.90%,
20:30,1.80%,1.80%,1.40%,
21:30,1.40%,1.50%,1.50%,
21:30,1.50%,1.40%,1.40%,
21:30,1.50%,1.30%,1.40%,
21:30,1.40%,1.50%,1.40%,
23:00,1.40%,1.40%,1.60%,
20:30,1.50%,1.70%,1.40%,
20:30,1.60%,1.40%,1.40%,
20:30,1.30%,1.20%,1.10%,
20:30,0.90%,1.00%,1.00%,
20:30,1.00%,0.90%,1.00%,
20:30,1.00%,1.10%,1.70%,
20:30,1.70%,1.60%,1.80%,
20:30,1.80%,1.70%,1.70%,
21:30,1.60%,1.70%,1.50%,
21:30,1.60%,1.60%,1.50%,
23:00,1.60%,1.60%,1.70%,
23:00,1.60%,1.70%,1.70%,
20:30,1.70%,1.70%,1.80%,
20:30,1.80%,1.80%,1.70%,
20:30,1.60%,1.60%,1.60%,
20:30,1.60%,1.70%,1.50%,
20:30,1.60%,1.60%,1.60%,
20:30,1.60%,1.60%,1.50%,
20:30,1.60%,1.70%,1.70%,
20:30,1.60%,1.70%,1.80%,
20:30,1.80%,1.90%,2.00%,
21:30,1.90%,1.90%,1.90%,
23:00,1.90%,1.90%,1.80%,
21:30,1.80%,1.90%,1.90%,
20:30,2.00%,2.00%,2.00%,
20:30,2.00%,2.00%,2.00%,
20:30,2.00%,2.00%,1.90%,
20:30,1.90%,2.00%,1.90%,
20:30,2.00%,1.90%,1.80%,
20:30,1.80%,1.80%,1.80%,
20:30,1.90%,1.90%,1.60%,
20:30,1.60%,1.60%,1.50%,
21:30,1.50%,1.50%,1.50%,
21:30,1.50%,1.50%,1.50%,
21:30,1.50%,1.50%,1.40%,
21:30,1.40%,1.40%,1.40%,
20:30,1.30%,1.30%,1.30%,
20:30,1.30%,1.40%,1.40%,
20:30,1.40%,1.40%,1.50%,
20:30,1.50%,1.30%,1.50%,
20:30,1.40%,1.40%,1.50%,
20:30,1.50%,1.50%,1.60%,
20:30,1.60%,,1.80%,
20:30,1.80%,1.70%,1.80%,
21:30,1.70%,1.80%,1.70%,
21:30,1.70%,1.70%,1.70%,
23:00,1.60%,,1.80%,
21:30,1.70%,,1.70%,
20:30,1.70%,1.70%,1.70%,
20:30,1.70%,1.70%,1.60%,
20:30,1.60%,1.50%,1.60%,
20:30,1.60%,1.60%,1.60%,
20:30,1.60%,1.60%,1.60%,
20:30,1.60%,1.60%,1.60%,
20:30,1.60%,,1.70%,
20:30,1.70%,1.80%,1.70%,
23:00,1.70%,1.50%,1.50%,
21:30,1.40%,1.40%,1.40%,
21:30,1.30%,1.40%,1.30%,
21:30,1.30%,1.30%,1.30%,
20:30,1.30%,,1.30%,
20:30,1.30%,1.20%,1.20%,
20:30,1.20%,1.30%,1.30%,
20:30,1.30%,1.20%,1.30%,
20:30,1.20%,1.20%,1.30%,
20:30,1.20%,1.30%,1.30%,
20:30,1.30%,1.40%,1.30%,
20:30,1.40%,1.30%,1.30%,
21:30,1.30%,1.20%,1.30%,
21:30,1.30%,1.30%,1.40%,
23:00,1.40%,,1.50%,
21:30,1.60%,1.50%,1.50%,
20:30,1.50%,,1.50%,
20:30,1.50%,,1.50%,
20:30,1.50%,,1.50%,
17:00,1.50%,,1.50%,
17:00,1.50%,,1.40%,
17:00,1.40%,,1.30%,
17:00,1.30%,,1.20%,
17:00,1.20%,,1.20%,
17:00,1.20%,,1.30%,
