发布日期,时间,今值,预测值,前值
2023年1月18日,21:30,,-0.2%,-0.2%
2022年12月15日,21:30,-0.2%,0.2%,0.5%
2022年11月16日,21:30,0.7%,0.3%,0.6%
2022年10月14日,20:30,0.4%,0.3%,0.2%
2022年8月17日,20:30,0.8%,0.6%,0.7%
2022年7月15日,20:30,0.8%,0.3%,-0.3%
2022年6月15日,20:30,0.0%,0.5%,0.5%
2022年5月17日,20:30,1.0%,0.5%,1.1%
2022年4月14日,20:30,-0.1%,0.2%,-0.9%
2022年3月16日,20:30,-1.2%,0.4%,6.7%
2022年2月16日,21:30,4.8%,1.0%,-4.0%
2022年1月14日,21:30,-3.1%,0.1%,-0.5%
2021年12月15日,21:30,-0.1%,0.7%,1.8%
2021年11月16日,21:30,1.6%,0.9%,0.5%
2021年10月15日,20:30,0.8%,0.4%,2.6%
2021年9月16日,20:30,2.5%,-0.1%,-1.9%
2021年8月17日,20:30,-1.0%,-0.1%,1.4%
2021年7月16日,20:30,1.1%,0.4%,-1.4%
2021年6月15日,20:30,-0.7%,-0.6%,-0.4%
2021年5月14日,20:30,-1.5%,-0.2%,7.6%
2021年4月15日,20:30,6.9%,6.3%,-3.4%
2021年3月16日,20:30,-3.5%,-0.9%,8.7%
2021年2月17日,21:30,6.0%,0.8%,-2.4%
2021年1月15日,21:30,-1.9%,0.1%,-1.1%
2020年12月16日,21:30,-0.5%,0.2%,-0.1%
2020年11月17日,21:30,0.1%,0.5%,0.9%
2020年10月16日,20:30,1.4%,0.2%,-0.3%
2020年9月16日,20:30,-0.1%,0.5%,0.9%
2020年8月14日,20:30,1.4%,0.8%,6.0%
2020年7月16日,20:30,5.6%,3.6%,10.1%
2020年6月16日,20:30,11.0%,4.7%,-12.4%
2020年5月15日,20:30,-15.3%,-4.6%,3.1%
2020年4月15日,20:30,1.7%,-2.0%,-0.2%
2020年3月17日,20:30,0.0%,0.4%,0.4%
2020年2月14日,21:30,0.0%,0.3%,0.2%
2020年1月16日,21:30,0.5%,0.4%,-0.1%
2019年12月13日,21:30,0.1%,0.3%,0.3%
2019年11月15日,21:30,0.3%,0.3%,0.0%
2019年10月16日,20:30,0.0%,0.3%,0.3%
2019年9月13日,20:30,0.3%,0.3%,0.9%
2019年8月15日,20:30,1.0%,0.3%,0.7%
2019年7月16日,20:30,0.7%,0.3%,0.6%
2019年6月14日,20:30,0.5%,0.4%,0.4%
2019年5月15日,20:30,0.0%,0.4%,1.1%
2019年4月18日,20:30,1.0%,0.4%,-0.3%
2019年4月1日,20:30,-0.2%,0.4%,1.7%
2019年3月11日,20:30,1.1%,0.6%,-2.3%
2019年2月14日,21:30,-1.7%,0.4%,1.0%
2018年12月14日,21:30,0.9%,0.4%,0.7%
2018年11月15日,21:30,0.3%,0.4%,0.3%
2018年10月15日,20:30,0.5%,0.3%,0.1%
2018年9月14日,20:30,0.1%,0.4%,0.8%
2018年8月15日,20:30,0.5%,0.4%,-0.1%
2018年7月16日,20:30,0.0%,0.4%,0.8%
2018年6月14日,20:30,0.5%,0.4%,0.6%
2018年5月15日,20:30,0.4%,0.4%,0.5%
2018年4月16日,20:30,0.4%,0.4%,0.1%
2018年3月14日,20:30,0.1%,0.4%,-0.2%
2018年2月14日,21:30,0.0%,0.4%,-0.2%
2018年1月12日,21:30,0.3%,0.4%,1.4%
2017年12月14日,21:30,0.8%,0.3%,0.4%
2017年11月15日,21:30,0.3%,0.4%,0.5%
2017年10月13日,20:30,0.4%,0.4%,-0.2%
2017年9月15日,20:30,-0.2%,0.3%,0.6%
2017年8月15日,20:30,0.6%,0.4%,0.1%
2017年7月14日,20:30,-0.1%,0.3%,0.0%
2017年6月14日,20:30,0.0%,0.3%,0.6%
2017年5月12日,20:30,0.2%,0.4%,0.7%
2017年4月14日,20:30,0.5%,0.3%,-0.2%
2017年3月15日,20:30,0.1%,0.2%,0.8%
2017年2月15日,21:30,0.4%,0.3%,0.4%
2017年1月13日,21:30,0.2%,0.4%,0.1%
2016年12月14日,21:30,0.1%,0.3%,0.6%
2016年11月15日,21:30,0.8%,0.3%,0.3%
2016年10月14日,20:30,0.1%,0.4%,-0.1%
2016年9月15日,20:30,-0.1%,0.3%,-0.1%
2016年8月12日,20:30,0.0%,0.3%,0.5%
2016年7月15日,20:30,0.5%,0.3%,0.5%
2016年6月14日,20:30,0.4%,0.3%,1.0%
2016年5月13日,20:30,0.9%,0.3%,0.2%
2016年4月13日,20:30,0.1%,0.3%,0.1%
2016年3月15日,20:30,0.0%,0.2%,0.2%
2016年2月12日,21:30,0.6%,0.3%,-0.3%
2016年1月15日,21:30,-0.3%,0.3%,0.5%
2015年12月11日,21:30,0.6%,0.4%,0.2%
2015年11月13日,21:30,0.2%,0.4%,0.1%
2015年10月14日,20:30,-0.1%,0.3%,0.2%
2015年9月15日,20:30,0.4%,0.4%,0.6%
2015年8月13日,20:30,0.3%,0.5%,0.2%
2015年7月14日,20:30,-0.1%,0.4%,0.7%
2015年6月11日,20:30,0.7%,0.5%,0.1%
2015年5月13日,20:30,0.0%,0.5%,0.5%
2015年4月14日,20:30,0.3%,0.5%,-0.2%
2015年3月12日,20:30,0.0%,0.4%,-0.1%
2015年2月12日,21:30,0.1%,0.4%,-0.3%
2015年1月14日,21:30,-0.4%,0.4%,0.6%
2014年12月11日,21:30,0.6%,0.5%,0.5%
2014年11月14日,21:30,0.5%,0.4%,-0.2%
2014年10月15日,20:30,-0.2%,0.4%,0.4%
