date,text
2022-10-26,"The Bank of Canada today increased its target for the overnight rate to 3¾%, with the Bank Rate at 4% and the deposit rate at 3¾%. The Bank is also continuing its policy of quantitative tightening.
Inflation around the world remains high and broadly based. This reflects the strength of the global recovery from the pandemic, a series of global supply disruptions, and elevated commodity prices, particularly for energy, which have been pushed up by Russia’s attack on Ukraine. The strength of the US dollar is adding to inflationary pressures in many countries. Tighter monetary policies aimed at controlling inflation are weighing on economic activity around the world. As economies slow and supply disruptions ease, global inflation is expected to come down.
In the United States, labour markets remain very tight even as restrictive financial conditions are slowing economic activity. The Bank projects no growth in the US economy through most of next year. In the euro area, the economy is forecast to contract in the quarters ahead, largely due to acute energy shortages. China’s economy appears to have picked up after the recent round of pandemic lockdowns, although ongoing challenges related to its property market will continue to weigh on growth. Overall, the Bank projects that global growth will slow from 3% in 2022 to about 1½% in 2023, and then pick back up to roughly 2½% in 2024. This is a slower pace of growth than was projected in the Bank’s July Monetary Policy Report (MPR).
In Canada, the economy continues to operate in excess demand and labour markets remain tight. The demand for goods and services is still running ahead of the economy’s ability to supply them, putting upward pressure on domestic inflation. Businesses continue to report widespread labour shortages and, with the full reopening of the economy, strong demand has led to a sharp rise in the price of services.
The effects of recent policy rate increases by the Bank are becoming evident in interest-sensitive areas of the economy: housing activity has retreated sharply, and spending by households and businesses is softening. Also, the slowdown in international demand is beginning to weigh on exports. Economic growth is expected to stall through the end of this year and the first half of next year as the effects of higher interest rates spread through the economy. The Bank projects GDP growth will slow from 3¼% this year to just under 1% next year and 2% in 2024. 
In the last three months, CPI inflation has declined from 8.1% to 6.9%, primarily due to a fall in gasoline prices. However, price pressures remain broadly based, with two-thirds of CPI components increasing more than 5% over the past year. The Bank’s preferred measures of core inflation are not yet showing meaningful evidence that underlying price pressures are easing. Near-term inflation expectations remain high, increasing the risk that elevated inflation becomes entrenched.
The Bank expects CPI inflation to ease as higher interest rates help rebalance demand and supply, price pressures from global supply disruptions fade, and the past effects of higher commodity prices dissipate. CPI inflation is projected to move down to about 3% by the end of 2023, and then return to the 2% target by the end of 2024.
Given elevated inflation and inflation expectations, as well as ongoing demand pressures in the economy, the Governing Council expects that the policy interest rate will need to rise further. Future rate increases will be influenced by our assessments of how tighter monetary policy is working to slow demand, how supply challenges are resolving, and how inflation and inflation expectations are responding. Quantitative tightening is complementing increases in the policy rate. We are resolute in our commitment to restore price stability for Canadians and will continue to take action as required to achieve the 2% inflation target.
Information note
The next scheduled date for announcing the overnight rate target is December 7, 2022. The Bank will publish its next full outlook for the economy and inflation, including risks to the projection, in the MPR on January 25, 2023."
2022-09-07,"The Bank of Canada today increased its target for the overnight rate to 3¼%, with the Bank Rate at 3½% and the deposit rate at 3¼%. The Bank is also continuing its policy of quantitative tightening.
The global and Canadian economies are evolving broadly in line with the Bank’s July projection. The effects of COVID-19 outbreaks, ongoing supply disruptions, and the war in Ukraine continue to dampen growth and boost prices.
Global inflation remains high and measures of core inflation are moving up in most countries. In response, central banks around the world continue to tighten monetary policy. Economic activity in the United States has moderated, although the US labour market remains tight. China is facing ongoing challenges from COVID shutdowns. Commodity prices have been volatile: oil, wheat and lumber prices have moderated while natural gas prices have risen.
In Canada, CPI inflation eased in July to 7.6% from 8.1% because of a drop in gasoline prices.  However, inflation excluding gasoline increased and data indicate a further broadening of price pressures, particularly in services. The Bank’s core measures of inflation continued to move up, ranging from 5% to 5.5% in July. Surveys suggest that short-term inflation expectations remain high. The longer this continues, the greater the risk that elevated inflation becomes entrenched.
The Canadian economy continues to operate in excess demand and labour markets remain tight. Canada’s GDP grew by 3.3% in the second quarter. While this was somewhat weaker than the Bank had projected, indicators of domestic demand were very strong – consumption grew by about 9½% and business investment was up by close to 12%. With higher mortgage rates, the housing market is pulling back as anticipated, following unsustainable growth during the pandemic. The Bank continues to expect the economy to moderate in the second half of this year, as global demand weakens and tighter monetary policy here in Canada begins to bring demand more in line with supply.
Given the outlook for inflation, the Governing Council still judges that the policy interest rate will need to rise further. Quantitative tightening is complementing increases in the policy rate. As the effects of tighter monetary policy work through the economy, we will be assessing how much higher interest rates need to go to return inflation to target. The Governing Council remains resolute in its commitment to price stability and will continue to take action as required to achieve the 2% inflation target.
Information note
The next scheduled date for announcing the overnight rate target is October 26, 2022. The Bank will publish its next full outlook for the economy and inflation, including risks to the projection, in the MPR at the same time."
2022-07-13,"The Bank of Canada today increased its target for the overnight rate to 2½%, with the Bank Rate at 2¾% and the deposit rate at 2½%. The Bank is also continuing its policy of quantitative tightening (QT).
Inflation in Canada is higher and more persistent than the Bank expected in its April Monetary Policy Report (MPR), and will likely remain around 8% in the next few months. While global factors such as the war in Ukraine and ongoing supply disruptions have been the biggest drivers, domestic price pressures from excess demand are becoming more prominent. More than half of the components that make up the CPI are now rising by more than 5%. With this broadening of price pressures, the Bank’s core measures of inflation have moved up to between 3.9% and 5.4%. Also, surveys indicate more consumers and businesses are expecting inflation to be higher for longer, raising the risk that elevated inflation becomes entrenched in price- and wage-setting. If that occurs, the economic cost of restoring price stability will be higher.
Global inflation is higher, reflecting the impact of the Russian invasion of Ukraine, ongoing supply constraints, and strong demand. Many central banks are tightening monetary policy to combat inflation, and the resulting tighter financial conditions are moderating economic growth. In the United States, high inflation and rising interest rates are contributing to a slowdown in domestic demand. China’s economy is being held back by waves of restrictive measures to contain COVID-19 outbreaks. Oil prices remain high and volatile. The Bank now expects global economic growth to slow to about 3½% this year and 2% in 2023 before strengthening to 3% in 2024.
Further excess demand has built up in the Canadian economy. Labour markets are tight with a record low unemployment rate, widespread labour shortages, and increasing wage pressures. With strong demand, businesses are passing on higher input and labour costs by raising prices. Consumption is robust, led by a rebound in spending on hard-to-distance services. Business investment is solid and exports are being boosted by elevated commodity prices. The Bank estimates that GDP grew by about 4% in the second quarter. Growth is expected to slow to about 2% in the third quarter as consumption growth moderates and housing market activity pulls back following unsustainable strength during the pandemic.
The Bank expects Canada’s economy to grow by 3½% in 2022, 1¾% in 2023, and 2½% in 2024. Economic activity will slow as global growth moderates and tighter monetary policy works its way through the economy. This, combined with the resolution of supply disruptions, will bring demand and supply back into balance and alleviate inflationary pressures. Global energy prices are also projected to decline. The July outlook has inflation starting to come back down later this year, easing to about 3% by the end of next year and returning to the 2% target by the end of 2024.
With the economy clearly in excess demand, inflation high and broadening, and more businesses and consumers expecting high inflation to persist for longer, the Governing Council decided to front-load the path to higher interest rates by raising the policy rate by 100 basis points today. The Governing Council continues to judge that interest rates will need to rise further, and the pace of increases will be guided by the Bank’s ongoing assessment of the economy and inflation. Quantitative tightening continues and is complementing increases in the policy interest rate. The Governing Council is resolute in its commitment to price stability and will continue to take action as required to achieve the 2% inflation target.
Information note
The next scheduled date for announcing the overnight rate target is September 7, 2022. The Bank will publish its next full outlook for the economy and inflation, including risks to the projection, in the MPR on October 26, 2022."
2022-06-01,"The Bank of Canada today increased its target for the overnight rate to 1½%, with the Bank Rate at 1¾% and the deposit rate at 1½%. The Bank is also continuing its policy of quantitative tightening (QT).
Inflation globally and in Canada continues to rise, largely driven by higher prices for energy and food. In Canada, CPI inflation reached 6.8% for the month of April – well above the Bank’s forecast – and will likely move even higher in the near term before beginning to ease. As pervasive input price pressures feed through into consumer prices, inflation continues to broaden, with core measures of inflation ranging between 3.2% and 5.1%. Almost 70% of CPI categories now show inflation above 3%. The risk of elevated inflation becoming entrenched has risen. The Bank will use its monetary policy tools to return inflation to target and keep inflation expectations well anchored.
The increase in global inflation is occurring as the global economy slows. The Russian invasion of Ukraine, China’s COVID-related lockdowns, and ongoing supply disruptions are all weighing on activity and boosting inflation. The war has increased uncertainty and is putting further upward pressure on prices for energy and agricultural commodities. This is dampening the outlook, particularly in Europe. In the United States, private domestic demand remains robust, despite the economy contracting in the first quarter of 2022. US labour market strength continues, with wage pressures intensifying. Global financial conditions have tightened and markets have been volatile.
Canadian economic activity is strong and the economy is clearly operating in excess demand. National accounts data for the first quarter of 2022 showed GDP growth of 3.1 percent, in line with the Bank’s April Monetary Policy Report (MPR) projection. Job vacancies are elevated, companies are reporting widespread labour shortages, and wage growth has been picking up and broadening across sectors. Housing market activity is moderating from exceptionally high levels. With consumer spending in Canada remaining robust and exports anticipated to strengthen, growth in the second quarter is expected to be solid.
With the economy in excess demand, and inflation persisting well above target and expected to move higher in the near term, the Governing Council continues to judge that interest rates will need to rise further. The policy interest rate remains the Bank’s primary monetary policy instrument, with quantitative tightening acting as a complementary tool. The pace of further increases in the policy rate will be guided by the Bank’s ongoing assessment of the economy and inflation, and the Governing Council is prepared to act more forcefully if needed to meet its commitment to achieve the 2% inflation target.
Information note
The next scheduled date for announcing the overnight rate target is July 13, 2022. The Bank will publish its next full outlook for the economy and inflation, including risks to the projection, in the MPR at the same time."
2022-04-13,"The Bank of Canada today increased its target for the overnight rate to 1%, with the Bank Rate at 1¼% and the deposit rate at 1%. The Bank is also ending reinvestment and will begin quantitative tightening (QT), effective April 25. Maturing Government of Canada bonds on the Bank’s balance sheet will no longer be replaced and, as a result, the size of the balance sheet will decline over time.
Russia’s ongoing invasion of Ukraine is causing unimaginable human suffering and new economic uncertainty. Price spikes in oil, natural gas and other commodities are adding to inflation around the world. Supply disruptions resulting from the war are also exacerbating ongoing supply constraints and weighing on activity. These factors are the primary drivers of a substantial upward revision to the Bank’s outlook for inflation in Canada.
The war in Ukraine is disrupting the global recovery, just as most economies are emerging from the impact of the Omicron variant of COVID-19. European countries are more directly impacted by confidence effects and supply dislocations caused by the war. China’s economy is facing new COVID outbreaks and an ongoing correction in its property market. In the United States, domestic demand remains very strong and the US Federal Reserve has clearly indicated its resolve to use its monetary policy tools to control inflation. As policy stimulus is withdrawn, US growth is expected to moderate to a pace more in line with potential growth. Global financial conditions have tightened and volatility has increased. The Bank now forecasts global growth of about 3½% this year, 2½% in 2023 and 3¼% in 2024.
In Canada, growth is strong and the economy is moving into excess demand. Labour markets are tight, and wage growth is back to its pre-pandemic pace and rising. Businesses increasingly report they are having difficulty meeting demand, and are able to pass on higher input costs by increasing prices. While the COVID-19 virus continues to mutate and circulate, high rates of vaccination have reduced its health and economic impacts. Growth looks to have been stronger in the first quarter than projected in January and is likely to pick up in the second quarter. Consumer spending is strengthening with the lifting of pandemic containment measures. Exports and business investment will continue to recover, supported by strong foreign demand and high commodity prices. Housing market activity, which has been exceptionally high, is expected to moderate.
The Bank forecasts that Canada’s economy will grow by 4¼% this year before slowing to 3¼% in 2023 and 2¼% in 2024. Robust business investment, labour productivity growth and higher immigration will add to the economy’s productive capacity, while higher interest rates should moderate growth in domestic demand.
CPI inflation in Canada is 5.7%, above the Bank’s forecast in its January Monetary Policy Report (MPR). Inflation is being driven by rising energy and food prices and supply disruptions, in combination with strong global and domestic demand. Core measures of inflation have all moved higher as price pressures broaden. CPI inflation is now expected to average almost 6% in the first half of 2022 and remain well above the control range throughout this year. It is then expected to ease to about 2½% in the second half of 2023 and return to the 2% target in 2024. There is an increasing risk that expectations of elevated inflation could become entrenched. The Bank will use its monetary policy tools to return inflation to target and keep inflation expectations well-anchored.
With the economy moving into excess demand and inflation persisting well above target, the Governing Council judges that interest rates will need to rise further. The policy interest rate is the Bank’s primary monetary policy instrument, and quantitative tightening will complement increases in the policy rate. The timing and pace of further increases in the policy rate will be guided by the Bank’s ongoing assessment of the economy and its commitment to achieving the 2% inflation target.
Information note
The next scheduled date for announcing the overnight rate target is June 1, 2022. The Bank will publish its next full outlook for the economy and inflation, including risks to the projection, in the MPR on July 13, 2022.
A market notice providing operational details for QT will be published this morning on the Bank’s web site."
2022-03-02,"The Bank of Canada today increased its target for the overnight rate to ½ %, with the Bank Rate at ¾ % and the deposit rate at ½ %. The Bank is continuing its reinvestment phase, keeping its overall holdings of Government of Canada bonds on its balance sheet roughly constant until such time as it becomes appropriate to allow the size of its balance sheet to decline.
The unprovoked invasion of Ukraine by Russia is a major new source of uncertainty. Prices for oil and other commodities have risen sharply. This will add to inflation around the world, and negative impacts on confidence and new supply disruptions could weigh on global growth. Financial market volatility has increased. The situation remains fluid and we are following events closely.
Global economic data has come in broadly in line with projections in the Bank’s January Monetary Policy Report (MPR). Economies are emerging from the impact of the Omicron variant of COVID-19 more quickly than expected, although the virus continues to circulate and the possibility of new variants remains a concern. Demand is robust, particularly in the United States. Global supply bottlenecks remain challenging, although there are indications that some constraints have eased.
Economic growth in Canada was very strong in the fourth quarter of last year at 6.7%. This is stronger than the Bank’s projection and confirms its view that economic slack has been absorbed. Both exports and imports have picked up, consistent with solid global demand. In January, the recovery in Canada’s labour market suffered a setback due to the Omicron variant, with temporary layoffs in service sectors and elevated employee absenteeism. However, the rebound from Omicron now appears to be well in train: household spending is proving resilient and should strengthen further with the lifting of public health restrictions. Housing market activity is more elevated, adding further pressure to house prices. Overall, first-quarter growth is now looking more solid than previously projected.
CPI inflation is currently at 5.1%, as expected in January, and remains well above the Bank’s target range. Price increases have become more pervasive, and measures of core inflation have all risen. Poor harvests and higher transportation costs have pushed up food prices. The invasion of Ukraine is putting further upward pressure on prices for both energy and food-related commodities. All told, inflation is now expected to be higher in the near term than projected in January. Persistently elevated inflation is increasing the risk that longer-run inflation expectations could drift upwards. The Bank will use its monetary policy tools to return inflation to the 2% target and keep inflation expectations well-anchored.
The policy rate is the Bank’s primary monetary policy instrument. As the economy continues to expand and inflation pressures remain elevated, the Governing Council expects interest rates will need to rise further. The Governing Council will also be considering when to end the reinvestment phase and allow its holdings of Government of Canada bonds to begin to shrink. The resulting quantitative tightening (QT) would complement increases in the policy interest rate. The timing and pace of further increases in the policy rate, and the start of QT, will be guided by the Bank’s ongoing assessment of the economy and its commitment to achieving the 2% inflation target.
Information note
The next scheduled date for announcing the overnight rate target is April 13, 2022. The Bank will publish its next full outlook for the economy and inflation, including risks to the projection, in the MPR at the same time."
2022-01-26,"The Bank of Canada today held its target for the overnight rate at the effective lower bound of ¼ %, with the Bank Rate at ½ % and the deposit rate at ¼ %. With overall economic slack now absorbed, the Bank has removed its exceptional forward guidance on its policy interest rate. The Bank is continuing its reinvestment phase, keeping its overall holdings of Government of Canada bonds roughly constant.
The global recovery from the COVID-19 pandemic is strong but uneven. The US economy is growing robustly while growth in some other regions appears more moderate, especially in China due to current weakness in its property sector. Strong global demand for goods combined with supply bottlenecks that hinder production and transportation are pushing up inflation in most regions. As well, oil prices have rebounded to well above pre-pandemic levels following a decline at the onset of the Omicron variant of COVID-19. Financial conditions remain broadly accommodative but have tightened with growing expectations that monetary policy will normalize sooner than was anticipated, and with rising geopolitical tensions. Overall, the Bank projects global GDP growth to moderate from 6¾ % in 2021 to about 3½ % in 2022 and 2023.
In Canada, GDP growth in the second half of 2021 now looks to have been even stronger than expected. The economy entered 2022 with considerable momentum, and a broad set of measures are now indicating that economic slack is absorbed. With strong employment growth, the labour market has tightened significantly. Job vacancies are elevated, hiring intentions are strong, and wage gains are picking up. Elevated housing market activity continues to put upward pressure on house prices.
The Omicron variant is weighing on activity in the first quarter. While its economic impact will depend on how quickly this wave passes, it is expected to be less severe than previous waves. Economic growth is then expected to bounce back and remain robust over the projection horizon, led by consumer spending on services, and supported by strength in exports and business investment. After GDP growth of 4½ % in 2021, the Bank expects Canada’s economy to grow by 4% in 2022 and about 3½ % in 2023.
CPI inflation remains well above the target range and core measures of inflation have edged up since October. Persistent supply constraints are feeding through to a broader range of goods prices and, combined with higher food and energy prices, are expected to keep CPI inflation close to 5% in the first half of 2022. As supply shortages diminish, inflation is expected to decline reasonably quickly to about 3% by the end of this year and then gradually ease towards the target over the projection period. Near-term inflation expectations have moved up, but longer-run expectations remain anchored on the 2% target. The Bank will use its monetary policy tools to ensure that higher near-term inflation expectations do not become embedded in ongoing inflation.
While COVID-19 continues to affect economic activity unevenly across sectors, the Governing Council judges that overall slack in the economy is absorbed, thus satisfying the condition outlined in the Bank’s forward guidance on its policy interest rate. The Governing Council therefore decided to end its extraordinary commitment to hold its policy rate at the effective lower bound. Looking ahead, the Governing Council expects interest rates will need to increase, with the timing and pace of those increases guided by the Bank’s commitment to achieving the 2% inflation target.
The Bank will keep its holdings of Government of Canada bonds on its balance sheet roughly constant at least until it begins to raise the policy interest rate. At that time, the Governing Council will consider exiting the reinvestment phase and reducing the size of its balance sheet by allowing roll-off of maturing Government of Canada bonds.
Information note
The next scheduled date for announcing the overnight rate target is March 2, 2022. The Bank will publish its next full outlook for the economy and inflation, including risks to the projection, in the Monetary Policy Report on April 13, 2022."
2021-12-08,"The Bank of Canada today held its target for the overnight rate at the effective lower bound of ¼ percent, with the Bank Rate at ½ percent and the deposit rate at ¼ percent. The Bank’s extraordinary forward guidance on the path for the overnight rate is being maintained. The Bank is continuing its reinvestment phase, keeping its overall holdings of Government of Canada bonds roughly constant.
The global economy continues to recover from the effects of the COVID-19 pandemic. Economic growth in the United States has accelerated, led by consumption, while growth in some other regions is moderating after a strong third quarter. Inflation has increased further in many countries, reflecting strong demand for goods amid ongoing supply disruptions. The new Omicron COVID-19 variant has prompted a tightening of travel restrictions in many countries and a decline in oil prices, and has injected renewed uncertainty. Accommodative financial conditions are still supporting economic activity.
Canada’s economy grew by about 5½ percent in the third quarter, as expected. Together with a downward revision to the second quarter, this brings the level of GDP to about 1½ percent below its level in the last quarter of 2019, before the pandemic began. Third-quarter growth was led by a rebound in consumption, particularly services, as restrictions were further eased and higher vaccination rates improved confidence. Persistent supply bottlenecks continued to inhibit growth in other components of GDP, including non-commodity exports and business investment.
Recent economic indicators suggest the economy had considerable momentum into the fourth quarter. This includes broad-based job gains in recent months that have brought the employment rate essentially back to its pre-pandemic level.  Job vacancies remain elevated and wage growth has also picked up. Housing activity had been moderating, but appears to be regaining strength, notably in resales. The devastating floods in British Columbia and uncertainties arising from the Omicron variant could weigh on growth by compounding supply chain disruptions and reducing demand for some services. 
CPI inflation is elevated and the impact of global supply constraints is feeding through to a broader range of goods prices. The effects of these constraints on prices will likely take some time to work their way through, given existing supply backlogs. Gasoline prices, which had been a major factor pushing up CPI inflation, have recently declined. Meanwhile, core measures of inflation are little changed since September. The Bank continues to expect CPI inflation to remain elevated in the first half of 2022 and ease back towards 2 percent in the second half of the year. The Bank is closely watching inflation expectations and labour costs to ensure that the forces pushing up prices do not become embedded in ongoing inflation.
The Governing Council judges that in view of ongoing excess capacity, the economy continues to require considerable monetary policy support. We remain committed to holding the policy interest rate at the effective lower bound until economic slack is absorbed so that the 2 percent inflation target is sustainably achieved. In the Bank’s October projection, this happens sometime in the middle quarters of 2022. We will provide the appropriate degree of monetary policy stimulus to support the recovery and achieve the inflation target.
Information note
The next scheduled date for announcing the overnight rate target is January 26, 2022. The Bank will publish its full outlook for the economy and inflation, including risks to the projection, in the Monetary Policy Report at the same time."
2021-10-27,"The Bank of Canada today held its target for the overnight rate at the effective lower bound of ¼ percent, with the Bank Rate at ½ percent and the deposit rate at ¼ percent. The Bank’s extraordinary forward guidance on the path for the overnight rate is being maintained. The Bank is ending quantitative easing (QE) and moving into the reinvestment phase, during which it will purchase Government of Canada bonds solely to replace maturing bonds.
The global economic recovery from the COVID-19 pandemic is progressing. Vaccines are proving highly effective against the virus, although their availability and distribution globally remain uneven and COVID variants pose risks to health and economic activity. In the face of strong global demand for goods, pandemic-related disruptions to production and transportation are constraining growth.  Inflation rates have increased in many countries, boosted by these supply bottlenecks and by higher energy prices. While bond yields have risen in recent weeks, financial conditions remain accommodative and continue to support economic activity.
The Bank projects global GDP will grow by 6½ percent in 2021 – a strong pace but less than projected in the July Monetary Policy Report (MPR) – and by 4¼ percent in 2022 and about 3½ percent in 2023.
In Canada, robust economic growth has resumed, following a pause in the second quarter. Strong employment gains in recent months were concentrated in hard-to-distance sectors and among workers most affected by lockdowns. This has significantly reduced the very uneven impact of the pandemic on workers. As the economy reopens, it is taking time for workers to find the right jobs and for employers to hire people with the right skills. This is contributing to labour shortages in certain sectors, even as slack remains in the overall labour market.
The Bank now forecasts Canada’s economy will grow by 5 percent this year before moderating to 4¼ percent in 2022 and 3¾ percent in 2023. Demand is expected to be supported by strong consumption and business investment, and a rebound in exports as the US economy continues to recover. Housing activity has moderated, but is expected to remain elevated. On the supply side, shortages of manufacturing inputs, transportation bottlenecks, and difficulties in matching jobs to workers are limiting the economy’s productive capacity. Although the impact and persistence of these supply factors are hard to quantify, the output gap is likely to be narrower than the Bank had forecast in July.
The recent increase in CPI inflation was anticipated in July, but the main forces pushing up prices – higher energy prices and pandemic-related supply bottlenecks – now appear to be stronger and more persistent than expected. Core measures of inflation have also risen, but by less than the CPI. The Bank now expects CPI inflation to be elevated into next year, and ease back to around the 2 percent target by late 2022. The Bank is closely watching inflation expectations and labour costs to ensure that the temporary forces pushing up prices do not become embedded in ongoing inflation.  
The Governing Council judges that in view of ongoing excess capacity, the economy continues to require considerable monetary policy support. We remain committed to holding the policy interest rate at the effective lower bound until economic slack is absorbed so that the 2 percent inflation target is sustainably achieved. In the Bank’s projection, this happens sometime in the middle quarters of 2022. In light of the progress made in the economic recovery, the Governing Council has decided to end quantitative easing and keep its overall holdings of Government of Canada bonds roughly constant.
We will continue to provide the appropriate degree of monetary policy stimulus to support the recovery and achieve the inflation target.
Information notes
A market notice outlining details of the reinvestment phase will be published on the Bank’s web site at 10:30 am ET today.
The next scheduled date for announcing the overnight rate target is December 8, 2021. The next full update of the Bank’s outlook for the economy and inflation, including risks to the projection, will be published in the MPR on January 26, 2022."
2021-09-08,"The Bank of Canada today held its target for the overnight rate at the effective lower bound of ¼ percent, with the Bank Rate at ½ percent and the deposit rate at ¼ percent. The Bank is maintaining its extraordinary forward guidance on the path for the overnight rate. This is reinforced and supplemented by the Bank’s quantitative easing (QE) program, which is being maintained at a target pace of $2 billion per week.
The global economic recovery continued through the second quarter, led by strong US growth, and had solid momentum heading into the third quarter. However, supply chain disruptions are restraining activity in some sectors and rising cases of COVID-19 in many regions pose a risk to the strength of the global recovery. Financial conditions remain highly accommodative.
In Canada, GDP contracted by about 1 percent in the second quarter, weaker than anticipated in the Bank’s July Monetary Policy Report (MPR). This largely reflects a contraction in exports, due in part to supply chain disruptions, especially in the auto sector. Housing market activity pulled back from recent high levels, largely as expected. Consumption, business investment and government spending all contributed positively to growth, with domestic demand growing at more than 3 percent. Employment rebounded through June and July, with hard-to-distance sectors hiring as public health restrictions eased. This is reducing unevenness in the labour market, although considerable slack remains and some groups – particularly low-wage workers – are still disproportionately affected. The Bank continues to expect the economy to strengthen in the second half of 2021, although the fourth wave of COVID-19 infections and ongoing supply bottlenecks could weigh on the recovery.
CPI inflation remains above 3 percent as expected, boosted by base-year effects, gasoline prices, and pandemic-related supply bottlenecks. These factors pushing up inflation are expected to be transitory, but their persistence and magnitude are uncertain and will be monitored closely. Wage increases have been moderate to date, and medium-term inflation expectations remain well-anchored. Core measures of inflation have risen, but by less than the CPI.
The Governing Council judges that the Canadian economy still has considerable excess capacity, and that the recovery continues to require extraordinary monetary policy support. We remain committed to holding the policy interest rate at the effective lower bound until economic slack is absorbed so that the 2 percent inflation target is sustainably achieved. In the Bank’s July projection, this happens in the second half of 2022. The Bank's QE program continues to reinforce this commitment and keep interest rates low across the yield curve. Decisions regarding future adjustments to the pace of net bond purchases will be guided by Governing Council's ongoing assessment of the strength and durability of the recovery. We will continue to provide the appropriate degree of monetary policy stimulus to support the recovery and achieve the inflation objective.
Information note
The next scheduled date for announcing the overnight rate target is October 27, 2021. The next full update of the Bank’s outlook for the economy and inflation, including risks to the projection, will be published in the MPR at the same time."
