date,text
2013-01-10,"At today’s meeting the Governing Council of the ECB decided that the interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 0.75%, 1.50% and 0.00% respectively.
The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. CET today."
2013-02-07,"At today’s meeting the Governing Council of the ECB decided that the interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 0.75%, 1.50% and 0.00% respectively.
The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. CET today."
2013-03-07,"At today’s meeting the Governing Council of the ECB decided that the interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 0.75%, 1.50% and 0.00% respectively.
The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. CET today."
2013-04-04,"At today’s meeting the Governing Council of the ECB decided that the interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 0.75%, 1.50% and 0.00% respectively.
The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. CET today."
2013-05-02,"At today’s meeting, which was held in Bratislava, the Governing Council of the ECB took the following monetary policy decisions:
The interest rate on the main refinancing operations of the Eurosystem will be decreased by 25 basis points to 0.50%, starting from the operation to be settled on 8 May 2013.
The interest rate on the marginal lending facility will be decreased by 50 basis points to 1.00%, with effect from 8 May 2013.
The interest rate on the deposit facility will remain unchanged at 0.00%.
The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. CET today."
2013-06-06,"At today’s meeting the Governing Council of the ECB decided that the interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 0.50%, 1.00% and 0.00% respectively.
The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. CET today."
2013-07-04,"At today’s meeting the Governing Council of the ECB decided that the interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 0.50%, 1.00% and 0.00% respectively.
The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. CET today."
2013-08-01,"At today’s meeting the Governing Council of the ECB decided that the interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 0.50%, 1.00% and 0.00% respectively.
The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. CET today."
2013-09-05,"At today’s meeting the Governing Council of the ECB decided that the interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 0.50%, 1.00% and 0.00% respectively.
The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. CET today."
2013-10-02,"At today’s meeting, which was held in Paris, the Governing Council of the ECB decided that the interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 0.50%, 1.00% and 0.00% respectively.
The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. CET today."
