date,text
201301,"The Reserve Bank today left the Official Cash Rate (OCR) unchanged at 2.5 percent.
Reserve Bank Governor Graeme Wheeler said: ""Global growth is set to recover in 2013 with economic indicators improving in many of our trading partners. Consistent with this, global financial market sentiment is positive, contributing to lower bank funding costs and some reduction in interest rates faced by households and firms in New Zealand.
""Domestically, recent data on business confidence and construction activity suggest GDP growth is recovering from the softness seen through the middle of last year. The Canterbury rebuild is gathering momentum and its impact will be felt more broadly in incomes and domestic demand. House price inflation has increased and we are watching this and household credit growth closely. The Bank does not want to see financial stability or inflation risks accentuated by housing demand getting too far ahead of supply.
""Inflation remains subdued and is currently just below the bottom of the Reserve Bank's inflation target range. This mainly reflects the impact of the overvalued New Zealand dollar. The high currency is directly supressing inflation on traded goods, and is undermining profitability in export and import competing industries. At the same time, the labour market remains weak and fiscal consolidation is dampening growth.
Overall, we expect economic growth to strengthen over the coming year, reducing spare capacity and bringing inflation slowly back towards the 2 percent target midpoint.
""On balance, it remains appropriate for the OCR to be held at 2.5 percent.""
Media contact:
Mike Hannah
Head of Communications
Ph 04 4713671, 021 497418, mike.hannah@rbnz.govt.nz"
201303,"The Reserve Bank today left the Official Cash Rate (OCR) unchanged at 2.5 percent.
Reserve Bank Governor Graeme Wheeler said: ""The downside risks around global growth have receded in recent months, and financial market sentiment has improved.
""Domestically, the economic recovery is uneven. While demand and output are expanding, the labour market remains weak. Economic growth and inflation are being shaped by a range of forces. The Canterbury rebuild is gaining momentum and residential investment and business and consumer confidence are increasing. House price inflation is increasing and the Bank does not want to see financial stability or inflation risks accentuated by housing demand getting too far ahead of supply.
""The overvalued New Zealand dollar is undermining profitability in export and import competing industries, and worsening drought conditions are creating difficulty in much of the country. Ongoing fiscal consolidation will also act to slow overall demand.
""We project the economy to grow at an annual rate of between 2 and 3 percent over the forecast period. Inflation is expected to rise gradually towards the 2 percent midpoint of the target range.
""There are both upside and downside risks to this outlook. At this point we expect to keep the OCR unchanged through the end of the year.""
View the Monetary Policy Statement.
Media contact:
Mike Hannah
Head of Communications
Ph 04 471 3671, 021 497418, mike.hannah@rbnz.govt.nz"
201304,"The Reserve Bank today left the Official Cash Rate (OCR) unchanged at 2.5 percent.
Reserve Bank Governor Graeme Wheeler said: ""The outlook for monetary policy remains consistent with that described in the March Monetary Policy Statement.
""Despite continued strains in Europe and disappointing data in some countries most recently, global financial market sentiment remains buoyant and the medium-term outlook for New Zealand's overall trading partner GDP growth remains firm.
""Growth in the New Zealand economy has picked up. Consumer spending has increased and rebuild activity in Canterbury is gaining momentum. House price inflation is high in some regions, despite prices already being elevated. The Bank does not want to see financial or price stability compromised by housing demand getting too far ahead of supply.
""Fiscal consolidation is constraining aggregate demand. In addition, drought has lowered agricultural production and will likely also negatively affect farm output in the coming season. International dairy prices have spiked higher in response to the drought, but these price gains could prove temporary.
""The New Zealand dollar remains overvalued and is higher than projected in March. Further appreciation has occurred partly in response to the announcement of a substantial quantitative easing programme in Japan. The high New Zealand dollar continues to be a significant headwind for the tradables sector, restricting export earnings and encouraging demand for imports.
""The CPI increased 0.9 percent in the year to the March quarter and is expected to remain close to the bottom of the target range this year. Weak near-term inflation prospects need to be balanced against our projection for inflation to gradually rise towards the 2 percent target midpoint.
""At this point, we expect to keep the OCR unchanged through the end of the year.""
Media contact:
Mike Hannah
Head of Communications
Ph 04 4713671, 021 497418, mike.hannah@rbnz.govt.nz"
201306,"The Reserve Bank today left the Official Cash Rate (OCR) unchanged at 2.5 percent.
Reserve Bank Governor Graeme Wheeler said: ""The global outlook remains mixed with disappointing data in Europe and some other countries, and more positive indicators in the United States and Japan. Global financial sentiment continues to be buoyant and the medium term outlook for New Zealand's main trading partners remains firm.""
""Growth in the New Zealand economy is picking up but remains uneven across sectors. Consumption is increasing and reconstruction in Canterbury continues to gather pace and will be reinforced by a broader national recovery in construction activity, particularly in Auckland. This will support aggregate activity and eventually help to ease the housing shortage.
""In the meantime rapid house price inflation persists in Auckland and Canterbury. As previously noted, the Reserve Bank does not want to see financial or price stability compromised by housing demand getting too far ahead of the supply response.
""Despite having fallen over the past few weeks, the New Zealand dollar remains overvalued and continues to be a headwind for the tradables sector, restricting export earnings and encouraging demand for imports. Fiscal consolidation will continue to constrain aggregate demand over the projection horizon.
""Annual CPI inflation has been just below 1 percent since the September quarter of 2012, largely reflecting falling prices for tradable goods and services. While tradables inflation is likely to remain low, annual CPI inflation is expected to trend upwards through the forecast period.
""Reflecting the balance of several forces, we expect annual GDP growth to accelerate to about 3.5 percent by the second half of 2014, and inflation to rise towards the midpoint of the 1 to 3 percent target band.
""Given this outlook, we expect to keep the OCR unchanged through the end of the year.""
View the Monetary Policy Statement.
Media contact:
Naomi Mitchell
External Communications Adviser
Ph 04 471 3960, 027 485 9474, naomi.mitchell@rbnz.govt.nz"
201307,"The Reserve Bank today left the Official Cash Rate (OCR) unchanged at 2.5 percent.
Reserve Bank Governor Graeme Wheeler said: ""The global outlook remains mixed, with the euro area still in recession and signs of slower growth in China and Australia, but more positive recent indicators in the United States and Japan. Global debt markets have become more cautious due to uncertainty around the Federal Reserve's anticipated exit from quantitative easing.
""Growth in the New Zealand economy is picking up and, although uneven, is becoming more widespread across sectors. Consumption is increasing and reconstruction in Canterbury will be reinforced by a broader national recovery in construction activity, particularly in Auckland. This will support aggregate activity and eventually help to ease the housing shortage.
""In the meantime rapid house price inflation persists in Auckland and Canterbury. As previously noted, the Reserve Bank does not want to see financial or price stability compromised by housing demand getting too far ahead of the supply response.
""Despite having fallen on a trade-weighted basis since May 2013, the New Zealand dollar remains high and continues to be a headwind for the tradables sector, restricting export earnings and encouraging demand for imports. Fiscal consolidation will weigh on aggregate demand over the projection horizon.
""CPI inflation has been very low over the past year, reflecting the high New Zealand dollar and strong international and domestic competition. However, inflation is expected to trend upwards towards the mid-point of the 1-3 percent target band as growth accelerates over the coming year.
""The extent of the monetary policy response will depend largely on the degree to which the growing momentum in the housing market and construction sector spills over into inflation pressures.
""Although removal of monetary stimulus will likely be needed in the future, we expect to keep the OCR unchanged through the end of the year.""
Media Contact:
Mike Hannah, Head of Communications,
Ph 04 4713671, 021 497 418, mike.hannah@rbnz.govt.nz"
201309,"The Reserve Bank today left the Official Cash Rate (OCR) unchanged at 2.5 percent.
Reserve Bank Governor Graeme Wheeler said: ""The global outlook remains mixed. GDP growth in Australia and China has slowed and some emerging market currencies have come under considerable downward pressure. At the same time, the major developed economies continue to recover and New Zealand's export commodity prices remain very high.
""Although long-term interest rates have risen globally in recent months, largely due to uncertainty around the timing of the Federal Reserve's exit from quantitative easing, global financial conditions overall continue to be very accommodating.
""In New Zealand, GDP is estimated to have increased by 3 percent in the year to the September quarter. Consumption is rising and reconstruction in Canterbury will be reinforced by a broader national recovery in construction activity, particularly in Auckland. This will support aggregate activity and start to ease the housing shortage.
""In the meantime rapid house price inflation persists in Auckland and Canterbury. As has been noted for some time, the Reserve Bank does not want to see financial or price stability compromised by continued high house price inflation. Restrictions on high loan-to-value residential mortgage lending, which will come into effect next month, are expected to help slow the national housing market.
""Despite having fallen on a trade-weighted basis since May 2013, the exchange rate remains high. A lower rate would reduce headwinds for the tradables sector and support export industries. Fiscal consolidation will weigh on aggregate demand over the projection horizon.
""CPI inflation has been very low over the past year, partly reflecting the high New Zealand dollar and strong international and domestic competition. However, inflation is expected to rise towards the mid-point of the 1 to 3 percent target band as growth strengthens over the coming year.
""OCR increases will likely be required next year. The extent and timing of the rise in policy rates will depend largely on the degree to which the momentum in the housing market and construction sector spills over into broader demand and inflation pressures. We expect to keep the OCR unchanged in 2013.""
View the Monetary Policy Statement online.
Media Contact:
Mike Hannah, Head of Communications,
Ph 04 4713671, 021 497 418, mike.hannah@rbnz.govt.nz"
201310,"The Reserve Bank today left the Official Cash Rate (OCR) unchanged at 2.5 percent.
Reserve Bank Governor Graeme Wheeler said: ""The recovery in the United States and other major advanced economies remains patchy. Nevertheless, world prices for New Zealand's export commodities are very high.
""Global long-term interest rates are still very low, but have been volatile recently. This volatility has largely been due to uncertainty as to when the Federal Reserve will exit from quantitative easing.
""The New Zealand economy is estimated to have grown by more than 3 percent in the year to September. Household spending is rising, and reconstruction in Canterbury is being reinforced by a broader rise in construction in Auckland and across the country more generally. This will support economic activity and start to ease the housing shortage.
""In the meantime high house price inflation persists, especially in Auckland. As has been noted for some time, the Reserve Bank does not want continued high house price inflation to compromise financial or price stability. Recently introduced restrictions on high loan-to-value mortgage lending are expected to help slow house price inflation and the Bank will continue to monitor the situation closely.
""The exchange rate remains high and is a headwind to the traded goods sector. Sustained strength in the exchange rate that leads to lower inflationary pressure would provide the Bank with greater flexibility as to the timing and magnitude of future increases in the OCR. Fiscal consolidation is also expected to continue weighing on demand over the next few years.
""Annual CPI inflation increased to 1.4 percent in the September quarter. As domestic demand pressure picks up, headline inflation is likely to rise towards the 2 percent target midpoint. The Bank is aiming to keep inflation and inflation expectations close to 2 percent over the medium term.
""Although we expect to keep the OCR unchanged in 2013, OCR increases will likely be required next year. The extent and timing of the rise in the policy rate will depend largely on the degree to which the momentum in the housing market and construction sector spills over into broader demand and inflation pressures.""
Media Contact:
Mike Hannah, Head of Communications
Ph 04 471 3671, 021 497 418, mike.hannah@rbnz.govt.nz"
201312,"The Reserve Bank today left the Official Cash Rate unchanged at 2.5 percent.
Reserve Bank Governor Graeme Wheeler said: ""Growth remains moderate but mixed for New Zealand's main trading partners. Nevertheless, export prices for New Zealand's main commodities, and especially dairy produce, have continued to increase.
""New Zealand's GDP is estimated to have grown at over 3 percent in the year to the September quarter and the expansion in the economy has considerable momentum. New Zealand's terms of trade are at a 40-year high, household spending is rising and construction activity is being lifted by the Canterbury rebuild and the response to the housing shortage in Auckland.
""Continued fiscal consolidation and the high exchange rate will partly offset the strength in domestic demand. The high exchange rate is a particular headwind for the tradables sector and the Bank does not believe it is sustainable in the long run.
""House price inflation is high in Auckland and other regions due to the housing shortage, and demand pressures associated with low interest rates and rising net inward migration. Restrictions on high loan-to-value mortgage lending, introduced in October, should help slow house price inflation. Data to date are limited on the effects of these restrictions. We will continue to monitor outcomes in the housing market closely.
""Annual CPI inflation increased to 1.4 percent in the September quarter and inflation pressures are projected to increase. The extent and timing of such pressures will depend largely on movements in the exchange rate, changes in commodity prices, and the degree to which momentum in the housing market and construction activity spills over into broader cost and price pressures.
""The Bank will increase the OCR as needed in order to keep future average inflation near the 2 percent target midpoint"".
View the Monetary Policy Statement online.

Media Contact:
Mike Hannah, Head of Communications
Ph 04 471 3671, 021 497 418, mike.hannah@rbnz.govt.nz"
201401,"Statement issued by Reserve Bank Governor Graeme Wheeler:
The Reserve Bank today left the Official Cash Rate unchanged at 2.5 percent.
New Zealand's economic expansion has considerable momentum. Prices for New Zealand's export commodities remain very high, especially for dairy products. Consumer and business confidence are strong and the rapid rise in net inward migration over the past year has added to consumption and housing demand. Construction activity is being lifted by the Canterbury rebuild and by work in Auckland to address the housing shortage. Continued fiscal consolidation will partly offset the strength in demand. GDP grew by 3.5 percent in the year to September, and growth is expected to continue around this rate over the coming year.
While agricultural export prices are expected to come off their peak levels, overall export demand should benefit from improving growth in the global economy. However, improvements in the major economies have required exceptional monetary accommodation and there remains uncertainty about the timing of withdrawal of this stimulus and its effects, especially on emerging market economies.
Annual CPI inflation was 1.6 percent in 2013, and forward-looking measures of firms' pricing intentions have been rising. Construction costs are increasing and risk feeding through to broader costs in the economy. At the same time, there appears to have been some moderation in the housing market in recent months. The high exchange rate continues to dampen inflation in the traded goods sector, but the Bank does not believe the current level of the exchange rate is sustainable in the long run.
While headline inflation has been moderate, inflationary pressures are expected to increase over the next two years. In this environment, there is a need to return interest rates to more-normal levels. The Bank expects to start this adjustment soon.
The Bank remains committed to increasing the OCR as needed to keep future average inflation near the 2 percent target mid-point. The scale and speed of the rise in the OCR will depend on future economic indicators.
Media Contact:
Mike Hannah, Head of Communications
Ph 04 471 3671, 021 497 418, mike.hannah@rbnz.govt.nz"
201403,"Statement issued by Reserve Bank Governor Graeme Wheeler:
The Reserve Bank today increased the OCR by 25 basis points to 2.75 percent.
New Zealand's economic expansion has considerable momentum, and growth is becoming more broad-based. GDP is estimated to have grown by 3.3 percent in the year to March. Growth is gradually increasing in New Zealand's trading partners. However, improvements in major economies have required exceptional support from monetary policy. Global financial conditions continue to be very accommodating, with bond yields in most advanced countries low and equity markets performing strongly.
Prices for New Zealand's export commodities remain very high, and especially for dairy. Domestically, the extended period of low interest rates and continued strong growth in construction sector activity have supported recovery. A rapid increase in net immigration over the past 18 months has also boosted housing and consumer demand. Confidence is very high among consumers and businesses, and hiring and investment intentions continue to increase.
Growth in demand has been absorbing spare capacity, and inflationary pressures are becoming apparent, especially in the non-tradables sector. In the tradables sector, weak import price inflation and the high exchange rate have held down inflation. The high exchange rate remains a headwind to the tradables sector. The Bank does not believe the current level of the exchange rate is sustainable in the long run.
There has been some moderation in the housing market. Restrictions on high loan-to-value ratio mortgage lending are starting to ease pressure, and rising interest rates will have a further moderating influence. However, the increase in net immigration flows will remain an offsetting influence.
While headline inflation has been moderate, inflationary pressures are increasing and are expected to continue doing so over the next two years. In this environment it is important that inflation expectations remain contained. To achieve this it is necessary to raise interest rates towards a level at which they are no longer adding to demand. The Bank is commencing this adjustment today. The speed and extent to which the OCR will be raised will depend on economic data and our continuing assessment of emerging inflationary pressures.
By increasing the OCR as needed to keep future average inflation near the 2 percent target mid-point, the Bank is seeking to ensure that the economic expansion can be sustained.
View the Monetary Policy Statement online.
Media Contact:
Mike Hannah, Head of Communications,
Ph 04 471 3671, mob 021 497418, mike.hannah@rbnz.govt.nz"
