date,time,,,,
2022/10/27,20:15:00,,,,
2022/9/8,20:15:00,,,,
2022/7/21,20:15:00,,,,
2022/6/9,19:45:00,,,,
2022/4/14,19:45:00,,,,
2022/3/10,20:45:00,,,,
2022/2/3,20:45:00,,,,
2021/12/16,20:45:00,,,,
2021/10/28,19:45:00,,,,
2021/9/9,19:45:00,,,,
2021/7/22,19:45:00,,,,
2021/6/10,19:45:00,,,,
2021/4/22,19:45:00,,,,
2021/3/11,20:45:00,,,,
2021/1/21,20:45:00,,,,
2020/12/10,20:45:00,,,,
2020/10/29,20:45:00,,,,
2020/9/10,19:45:00,,,,
2020/7/16,19:45:00,,,,
2020/6/4,19:45:00,,,,
2020/4/30,19:45:00,,,,
2020/3/12,20:45:00,,,,
2020/1/23,20:45:00,,,,
2019/12/12,20:45:00,,,,
2019/10/24,19:45:00,,,,
2019/9/12,19:45:00,,,,
2019/7/25,19:45:00,,,,
2019/6/6,19:45:00,,,,
2019/4/10,19:45:00,,,,
2019/3/7,20:45:00,,,,
2019/1/24,20:45:00,,,,
2018/12/13,20:45:00,,,,
2018/10/25,19:45:00,,,,
2018/9/13,19:45:00,,,,
2018/7/26,19:45:00,,,,
2018/6/14,19:45:00,,,,
2018/4/26,19:45:00,,,,
2018/3/8,20:45:00,,,,
2018/1/25,20:45:00,,,,
2017/12/14,20:45:00,,,,
2017/10/26,19:45:00,,,,
2017/9/7,19:45:00,,,,
2017/7/20,19:45:00,,,,
2017/6/8,19:45:00,,,,
2017/4/27,19:45:00,,,,
2017/3/9,20:45:00,,,,
2017/1/19,20:45:00,,,,
2016/12/8,20:45:00,,,,
2016/10/20,19:45:00,,,,
2016/9/8,19:45:00,,,,
2016/7/21,19:45:00,,,,
2016/6/2,19:45:00,,,,
2016/4/21,19:45:00,,,,
2016/3/10,20:45:00,,,,
2016/1/21,20:45:00,,,,
2015/12/3,20:45:00,,,,
2015/10/22,19:45:00,,,,
2015/9/3,19:45:00,,,,
2015/7/16,19:45:00,,,,
2015/6/3,19:45:00,,,,
2015/4/15,19:45:00,,,,
2015/3/5,20:45:00,,,,
2015/1/22,20:45:00,,,,
2014/12/4,20:45:00,,,,
2014/11/6,20:45:00,,,,
2014/10/2,19:45:00,,,,
2014/9/4,19:45:00,,,,
2014/8/7,19:45:00,,,,
2014/7/3,19:45:00,,,,
2014/6/5,19:45:00,,,,
2014/5/8,19:45:00,,,,
2014/4/3,19:45:00,,,,
2014/3/6,20:45:00,,,,
2014/2/6,20:45:00,,,,
2014/1/9,20:45:00,,,,
2013/12/5,20:45:00,,,,
2013/11/7,20:45:00,,,,
2013/10/2,19:45:00,,,,
2013/9/5,19:45:00,,,,
2013/8/1,19:45:00,,,,
2013/7/4,19:45:00,,,,
2013/6/6,19:45:00,,,,
2013/5/2,19:45:00,,,,
2013/4/4,19:45:00,,,,
2013/3/7,20:45:00,,,,
2013/2/7,20:45:00,,,,
2013/1/10,20:45:00,,,,
