date,time
2022/10/5,9:00:00
2022/8/17,10:00:00
2022/7/13,10:00:00
2022/5/25,10:00:00
2022/4/13,10:00:00
2022/2/23,9:00:00
2021/11/24,9:00:00
2021/10/6,9:00:00
2021/8/18,10:00:00
2021/7/14,10:00:00
2021/5/26,10:00:00
2021/4/14,10:00:00
2021/2/24,9:00:00
2020/11/11,9:00:00
2020/9/23,10:00:00
2020/8/12,10:00:00
2020/6/24,10:00:00
2020/5/13,10:00:00
2020/3/15,23:00:00
2020/2/12,9:00:00
2019/11/13,9:00:00
2019/9/25,10:00:00
2019/8/7,10:00:00
2019/6/26,10:00:00
2019/5/8,10:00:00
2019/3/27,9:00:00
2019/2/13,9:00:00
2018/11/8,4:00:00
2018/9/27,5:00:00
2018/8/9,5:00:00
2018/6/28,5:00:00
2018/5/10,5:00:00
2018/3/22,4:00:00
2018/2/8,4:00:00
2017/11/9,4:00:00
2017/9/28,4:00:00
2017/8/10,5:00:00
2017/6/22,5:00:00
2017/5/11,5:00:00
2017/3/23,4:00:00
2017/2/9,4:00:00
2016/11/10,4:00:00
2016/9/22,5:00:00
2016/8/11,5:00:00
2016/6/9,5:00:00
2016/4/28,5:00:00
2016/3/10,4:00:00
2016/1/28,4:00:00
2015/12/10,4:00:00
2015/10/29,4:00:00
2015/9/10,5:00:00
2015/7/23,5:00:00
2015/6/11,5:00:00
2015/4/30,5:00:00
2015/3/12,4:00:00
2015/1/29,4:00:00
2014/12/11,4:00:00
2014/10/30,4:00:00
2014/9/11,5:00:00
2014/7/24,5:00:00
2014/6/12,5:00:00
2014/4/24,5:00:00
2014/3/13,4:00:00
2014/1/30,4:00:00
2013/12/12,4:00:00
2013/10/31,4:00:00
2013/9/12,5:00:00
2013/7/25,5:00:00
2013/6/13,5:00:00
2013/4/24,5:00:00
2013/3/14,4:00:00
2013/1/31,4:00:00
